61833, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 20, M_S
62731, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, M_S
62730, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, M_S
58351, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 60, M_S
57013, BICONCOR , BICONCOR, NOT FOUND, CPR 10 MG x 30 (/6.2), M_S
53026, BICONCOR , BICONCOR, NOT FOUND, CPR 2.50 MG x 30 (/6.2), M_S
53027, BICONCOR , BICONCOR, NOT FOUND, CPR 5 MG x 30 (/6.2), M_S
154152, BION 3 , BION 3, NOT FOUND, TABLETES x 30, M_S
68616, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, M_S
68617, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, M_S
66478, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS 4 MG 20 ML x 1 (/ML), M_S
