58123, GLIFAGE , GLIFAGE, NOT FOUND, CPR REVEST 1 G x 30, M_S
52332, GLIFAGE , GLIFAGE, NOT FOUND, CPR REVEST 500 MG x 30, M_S
50870, GLIFAGE , GLIFAGE, NOT FOUND, CPR REVEST 850 MG x 30, M_S
80239, GLIFAGE XR , GLIFAGE XR, NOT FOUND, CPR AP. 1 G x 10, M_S
80240, GLIFAGE XR , GLIFAGE XR, NOT FOUND, CPR AP. 1 G x 30, M_S
69612, GLIFAGE XR , GLIFAGE XR, NOT FOUND, CPR AP. 500 MG x 30, M_S
77299, GLIFAGE XR , GLIFAGE XR, NOT FOUND, CPR AP. 750 MG x 10, M_S
77301, GLIFAGE XR , GLIFAGE XR, NOT FOUND, CPR AP. 750 MG x 30, M_S
66930, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, M_S
66932, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, M_S
66938, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, M_S
80242, GLUCOVANCE , GLUCOVANCE, NOT FOUND, CPR REVEST 1 G x 30 (/5), M_S
60040, GLUCOVANCE , GLUCOVANCE, NOT FOUND, CPR REVEST 1.25 MG x 30 (/250), M_S
76985, GLUCOVANCE , GLUCOVANCE, NOT FOUND, CPR REVEST 2.50 MG x 10 (/500), M_S
60041, GLUCOVANCE , GLUCOVANCE, NOT FOUND, CPR REVEST 2.50 MG x 30 (/500), M_S
76986, GLUCOVANCE , GLUCOVANCE, NOT FOUND, CPR REVEST 5 MG x 10 (/500), M_S
60042, GLUCOVANCE , GLUCOVANCE, NOT FOUND, CPR REVEST 5 MG x 30 (/500), M_S
68576, GONAL-F , GONAL F, NOT FOUND, CANETAS 300 IU 0.50 ML x 1, M_S
69951, GONAL-F , GONAL F, NOT FOUND, CANETAS 450 IU 0.75 ML x 1, M_S
68577, GONAL-F , GONAL F, NOT FOUND, CANETAS 900 IU 1.50 ML x 1, M_S
64081, GONAL-F , GONAL F, NOT FOUND, F.IM LIOF 450 IU 1 ML x 1, M_S
52639, GONAL-F , GONAL F, NOT FOUND, F.IM LIOF 75 IU 1 ML x 1, M_S
