59135, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, M_S
61107, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 400 MG x 30, M_S
56245, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), M_S
57222, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, CPR 400 MG x 1, M_S
60003, ALGINAC , ALGINAC, NOT FOUND, AMP.A+B 2 ML x 3, M_S
63854, ALGINAC , ALGINAC, NOT FOUND, CPR REVEST x 14, M_S
67203, ALGINAC , ALGINAC, NOT FOUND, CPR REVEST x 15, M_S
60004, ALGINAC , ALGINAC, NOT FOUND, CPR REVEST x 30, M_S
76961, ALGINAC , ALGINAC, NOT FOUND, CPR REVEST x 4, M_S
140286, ALGINAC RETARD , ALGINAC RETARD, NOT FOUND, CPR REV L/R x 10, M_S
140288, ALGINAC RETARD , ALGINAC RETARD, NOT FOUND, CPR REV L/R x 4, M_S
46652, ARTREN , ARTREN, NOT FOUND, CAPS 100 MG x 10, M_S
50309, ASALIT , ASALIT, NOT FOUND, CPR LAQ. 400 MG x 20, M_S
43861, ASALIT , ASALIT, NOT FOUND, ENEMA 3 G 100 ML x 1, M_S
43862, ASALIT , ASALIT, NOT FOUND, SUP. 250 MG x 10, M_S
49576, ASMALERGIN , ASMALERGIN, NOT FOUND, XAR. 0.20 MG 100 ML x 1 (/ML), M_S
59793, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 28, M_S
57405, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 30, M_S
57404, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 30, M_S
61832, ATENOLOL+CLORTA.MG , ATENOLOL CLORTA, NOT FOUND, CPR REVEST 12.5 MG x 30 (/50), M_S
77452, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 2, M_S
77453, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 3, M_S
77454, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 5, M_S
