54001; FEM 7 ; FEM 7; NOT FOUND; ADHESIVO 50 Y x 4; M_S
72492; FERMATHRON ; FERMATHRON; NOT FOUND; SER.PRELL 20 MG 2 ML x 1; M_S
58404; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR 5 MG x 30; M_S
61834; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 1 MG x 30; M_S
63789; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 1 MG x 60; M_S
55001; FLAXIN ; FLAXIN; NOT FOUND; CPR LAQ. 5 MG x 30; M_S
79002; FLEXIVE CDM ; FLEXIVE CDM; NOT FOUND; CREME DERM 350 MG 25 G x 1; M_S
79003; FLEXIVE CDM ; FLEXIVE CDM; NOT FOUND; CREME DERM 350 MG 50 G x 1; M_S
49324; FLOGAN ; FLOGAN; NOT FOUND; A.IM 75 MG 3 ML x 3; M_S
49326; FLOGAN ; FLOGAN; NOT FOUND; CPR LAQ. 50 MG x 20; M_S
54420; FLOGAN AI ; FLOGAN AI; NOT FOUND; CPR SOLUVEL 100 MG x 10; M_S
54419; FLOGAN AI ; FLOGAN AI; NOT FOUND; CPR SOLUVEL 50 MG x 20; M_S
74169; FLORALYTE ; FLORALYTE; NOT FOUND; SOL 45 ABACA 500 ML x 1; M_S
85252; FLORALYTE ; FLORALYTE; NOT FOUND; SOL 45 CEREJ 500 ML x 1; M_S
83501; FLORALYTE ; FLORALYTE; NOT FOUND; SOL 45 COCO 500 ML x 1; M_S
83500; FLORALYTE ; FLORALYTE; NOT FOUND; SOL 45 MACA 500 ML x 1; M_S
74170; FLORALYTE ; FLORALYTE; NOT FOUND; SOL 90 ABACA 500 ML x 1; M_S
91001; FLORALYTE ; FLORALYTE; NOT FOUND; SOL 90 COCO 500 ML x 1; M_S
72942; FLORALYTE ; FLORALYTE; NOT FOUND; SOLN GUARANA 500 ML x 1; M_S
72943; FLORALYTE ; FLORALYTE; NOT FOUND; SOLN LARANJA 500 ML x 1; M_S
78429; FLORALYTE ; FLORALYTE; NOT FOUND; SOLN NATURAL 500 ML x 1; M_S
72944; FLORALYTE ; FLORALYTE; NOT FOUND; SOLN.T.FRUTI 500 ML x 1; M_S
46119; FLORATIL ; FLORATIL; NOT FOUND; CAPS 100 MG x 12; M_S
55450; FLORATIL ; FLORATIL; NOT FOUND; CAPS 200 MG x 6; M_S
75786; FLORATIL ; FLORATIL; NOT FOUND; PO ENVELOPE 200 MG 1 G x 25; M_S
55451; FLORATIL ; FLORATIL; NOT FOUND; PO ENVELOPE 200 MG 1 G x 6 (PAED); M_S
44322; FLORATIL ; FLORATIL; NOT FOUND; PO ORAL 200 MG 1 G x 4 (PAED); M_S
77467; FLORATIL PACK ; FLORATIL PACK; NOT FOUND; CAPS x 12; M_S
77466; FLORATIL PACK ; FLORATIL PACK; NOT FOUND; CAPS x 6; M_S
77465; FLORATIL PACK ; FLORATIL PACK; NOT FOUND; SACHETS 1 G x 12; M_S
77464; FLORATIL PACK ; FLORATIL PACK; NOT FOUND; SACHETS 1 G x 6; M_S
74512; FLOXOCIP ; FLOXOCIP; NOT FOUND; CPR REVEST 500 MG x 14; M_S
74511; FLOXOCIP ; FLOXOCIP; NOT FOUND; CPR REVEST 500 MG x 6; M_S
61108; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 0.20 MG 100 ML x 1; M_S
