46855; LAXTAM ; LAXTAM; NOT FOUND; GEL. 150 G x 1; M_S
76144; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 100 Y x 30; M_S
76424; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 112 Y x 30; M_S
76145; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 125 Y x 30; M_S
76146; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 150 Y x 30; M_S
76147; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 175 Y x 30; M_S
76148; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 200 Y x 30; M_S
76141; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 25 Y x 30; M_S
76142; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 50 Y x 30; M_S
76143; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 75 Y x 30; M_S
76423; LEVOTIROXINA SO.MG ; LEVOTIROXINA SO; LEVOTIROXINA SODICA; CPR 88 Y x 30; M_S
64919; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; M_S
63183; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; M_S
63182; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; M_S
63255; LORATADINA MG ; LORATADINA; LORATADINA; CPR RECUB. 10 MG x 12; M_S
65425; LORATADINA MG ; LORATADINA; LORATADINA; XAROPE 1 MG 100 ML x 1 (/ML); M_S
68619; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 1 MG x 20; M_S
68620; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 2 MG x 20; M_S
63856; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; M_S
76988; LOSARTION ; LOSARTION; NOT FOUND; CPR REVEST 50 MG x 10; M_S
69542; LOSARTION ; LOSARTION; NOT FOUND; CPR REVEST 50 MG x 30; M_S
59656; LUVERIS ; LUVERIS; NOT FOUND; F.AMP LIOF 75 IU 1 ML x 1; M_S
