65426, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, M_S
66623, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), M_S
66622, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), M_S
64734, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 2 MG 120 ML x 1 (/5M, M_S
89009, MARIMER , MARIMER, NOT FOUND, SOL ISO 0.9% 100 ML x 1, M_S
56611, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, M_S
57639, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 20 MG 30 ML x 1 (/ML), M_S
61671, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, M_S
61672, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, M_S
58751, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, M_S
58752, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 4 MG x 30, M_S
75793, MESIDOX , MESIDOX, NOT FOUND, CPR 2 MG x 30, M_S
75794, MESIDOX , MESIDOX, NOT FOUND, CPR 4 MG x 30, M_S
29391, MIO CITALGAN , MIO CITALGAN, NOT FOUND, CPR x 20, M_S
50618, MUCOFLUX , MUCOFLUX, NOT FOUND, XAR. AD 250 MG 100 ML x 1 (/5ML), M_S
50617, MUCOFLUX , MUCOFLUX, NOT FOUND, XAR. PED. 100 MG 100 ML x 1 (/5ML), M_S
