146649, SAIZEN , SAIZEN, NOT FOUND, F.AMP 5.83 MG 1.03 ML x 1 (/ML), M_S
61553, SAIZEN , SAIZEN, NOT FOUND, F.AMP 8 MG 1 ML x 1, M_S
146652, SAIZEN , SAIZEN, NOT FOUND, F.AMP 8 MG 1.50 ML x 1 (/ML), M_S
147839, SAIZEN , SAIZEN, NOT FOUND, F.AMP 8 MG 2.50 ML x 1 (/ML), M_S
48233, SAIZEN , SAIZEN, NOT FOUND, F.AMP SOLV 4 IU 1 ML x 1, M_S
45299, SEROPHENE , SEROPHENE, NOT FOUND, CPR 50 MG x 10, M_S
44459, SEROPHENE , SEROPHENE, NOT FOUND, CPR 50 MG x 30, M_S
56284, SIMETICONA MG , SIMETICONA, SIMETICONA, CPR 40 MG x 20, M_S
66611, SIMETICONA MG , SIMETICONA, SIMETICONA, GOTAS 75 MG 15 ML x 1 (/ML), M_S
48705, STILAMIN , STILAMIN, NOT FOUND, AMP INFU.LIO 3 MG x 1, M_S
66639, SULFATO TERBUTA.MG , SULFATO TERBUTA, SULFATO TERBUTALINA, XAROPE 0.30 MG 100 ML x 1 (/ML), M_S
