527900609110414; CAPTOSEN; CAPTOSEN; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 900 (EMB HOSP); P7B
527900604119413; CAPTOSEN; CAPTOSEN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; P7B
527900605115411; CAPTOSEN; CAPTOSEN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 900 (EMB HOSP); P7B
527900607118418; CAPTOSEN; CAPTOSEN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; P7B
527900608114416; CAPTOSEN; CAPTOSEN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 900 (EMB HOSP); P7B
527904601165115; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/ G CREM DERM CT BG AL X 30 G; P7B
527904604164111; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/ G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); P7B
527912100018906; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; P7B
527904603117118; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; P7B
527904602110111; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); P7B
527900903116416; CIPROFLONAX; CIPROFLONAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; P7B
527900904112414; CIPROFLONAX; CIPROFLONAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 500; P7B
527914010019206; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1G COM REV CT BL AL PLAS INC X 30; P7B
527914010019306; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1G COM REV CT BL AL PLAS INC X 500 (EMB HOSP); P7B
527905301114114; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 30 ; P7B
527905302110112; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); P7B
527905304113119; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 30; P7B
527905303117110; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); P7B
527901001116410; CLORTON; CLORTON; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 21; P7B
527901002112419; CLORTON; CLORTON; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14; P7B
527901101161418; CORTIDEX; CORTIDEX; NOT FOUND; 0.1% CREM DERM  CT BG  AL X 10 G; P7B
527901102168416; CORTIDEX; CORTIDEX; NOT FOUND; 0.1% CREME DERM  CX 100 BG  AL X 10 G (EMB HOSP); P7B
527904702115415; COENAPLEX; COENAPLEX; NOT FOUND; 20 MG + 12.5 MG COM CT 3 STRIP X 10 01 02; P7B
527904701119417; COENAPLEX; COENAPLEX; NOT FOUND; 10 MG + 25 MG COM CT 3 STRIP X 10 01 01; P7B
527900701165416; CARIDERM; CARIDERM; NOT FOUND; 5000 UI + 900 UI +150 MG/G POM DERM CT BG AL X 45 G; P7B
527900802115414; CEDRILAX; CEDRILAX; NOT FOUND; 300MG + 125MG + 50MG + 30MG COM CX BL AL PLAS TRANS X 100; P7B
527900801119416; CEDRILAX; CEDRILAX; NOT FOUND; 300MG + 125MG + 50MG + 30MG COM CT BL AL PLAS TRANS X 30; P7B
