500200801114218, BLOPRESS, BLOPRESS, NOT FOUND, 16 MG COM CT 2 BL AL PLAS INC X 15, ABT
500200803117214, BLOPRESS, BLOPRESS, NOT FOUND, 8 MG COM CT 2 BL AL PLAS INC X 15, ABT
500200901119114, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT 2 BL AL PLAS INC X 10, ABT
500200902115112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201006113310, BUFEDIL, BUFEDIL, NOT FOUND, 150 MG COM REV CT BL AL PVC X 40 , ABT
500201002118318, BUFEDIL, BUFEDIL, NOT FOUND, 150 MG COM REV CT FR VD AMB X 30, ABT
500201005117312, BUFEDIL, BUFEDIL, NOT FOUND, 300 MG COM REV CT BL AL PVC X 20 , ABT
500201003114316, BUFEDIL, BUFEDIL, NOT FOUND, 300 MG COM REV CT FR VD AMB X 30, ABT
500200801114218, BLOPRESS, BLOPRESS, NOT FOUND, 16 MG COM CT 2 BL AL PLAS INC X 15, ABT
500200803117214, BLOPRESS, BLOPRESS, NOT FOUND, 8 MG COM CT 2 BL AL PLAS INC X 15, ABT
500200901119114, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT 2 BL AL PLAS INC X 10, ABT
500200902115112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201006113310, BUFEDIL, BUFEDIL, NOT FOUND, 150 MG COM REV CT BL AL PVC X 40 , ABT
500201002118318, BUFEDIL, BUFEDIL, NOT FOUND, 150 MG COM REV CT FR VD AMB X 30, ABT
500201005117312, BUFEDIL, BUFEDIL, NOT FOUND, 300 MG COM REV CT BL AL PVC X 20 , ABT
500201003114316, BUFEDIL, BUFEDIL, NOT FOUND, 300 MG COM REV CT FR VD AMB X 30, ABT
500200801114218, BLOPRESS, BLOPRESS, NOT FOUND, 16 MG COM CT 2 BL AL PLAS INC X 15, ABT
500200803117214, BLOPRESS, BLOPRESS, NOT FOUND, 8 MG COM CT 2 BL AL PLAS INC X 15, ABT
