1014600300019; MEMORIOL B6 200; MEMORIOL B6 200; NOT FOUND; 200MG + 250MG + 6MG + 20MG DRG CT 2 BL AL PLAS INC X 10; BAL
1014600520124; MONOCORDIL; MONOCORDIL; NOT FOUND; 10 MG/ML SOL INJ CX 12 AMP VD INC X 5 ML; BAL
1014600520041; MONOCORDIL; MONOCORDIL; NOT FOUND; 10 MG SOL INJ CX 50 AMP X 1 ML; BAL
1014600520013; MONOCORDIL; MONOCORDIL; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 20; BAL
1014600520205; MONOCORDIL; MONOCORDIL; NOT FOUND; 20 MG COM CT 2 BL AL PLAS INC X 15; BAL
1014600520021; MONOCORDIL; MONOCORDIL; NOT FOUND; 40 MG COMP. 1 BL X 20; BAL
1014600520264; MONOCORDIL; MONOCORDIL; NOT FOUND; 40 MG COM CT 2 BL AL PLAS INC X 15; BAL
1014600520086; MONOCORDIL; MONOCORDIL; NOT FOUND; 50 MG CAP. 2 BL X 12 RETARD; BAL
1014600520094; MONOCORDIL; MONOCORDIL; NOT FOUND; 5 MG COM SUB LING CT 3 BL AL PLAS INC X 10; BAL
1014600520167; MONOCORDIL; MONOCORDIL; NOT FOUND; 50 MG CAP RETARD CT 2 BL AL PLAS INC X 15; BAL
1014600870011; METADOXIL; METADOXIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 30 ; BAL
