1014600500158; BALCOR; BALCOR; NOT FOUND; 25 MG PO LIOF CT FR AMP VD INC + AMP DIL X 5 ML; BAL
1014600500166; BALCOR; BALCOR; NOT FOUND; 50 MG PO LIOF CT FA AMP VD INC + AMP DIL X 10 ML; BAL
1014600500069; BALCOR; BALCOR; NOT FOUND; 30 MG COMP. 2 BL X 10; BAL
1014600500077; BALCOR; BALCOR; NOT FOUND; 30 MG COMP. 5 BL X 10; BAL
1014600500085; BALCOR; BALCOR; NOT FOUND; 60 MG COMP. 2 BL X 12; BAL
1014600500247; BALCOR; BALCOR; NOT FOUND; 60 MG COM CT 4 BL AL PLAS INC X 15; BAL
1014600500204; BALCOR; BALCOR; NOT FOUND; 30 MG COM CT 2 BL AL PLAS INC X 15; BAL
1014600500212; BALCOR; BALCOR; NOT FOUND; 30 MG COM CT 4 BL AL PLAS INC X 15; BAL
1014600500239; BALCOR; BALCOR; NOT FOUND; 60 MG COM CT 2 BL AL PLAS INC X 15; BAL
1014600500131; BALCOR RETARD; BALCOR RETARD; NOT FOUND; 120 MG CAP. 2 BL X 10; BAL
1014600500050; BALCOR RETARD; BALCOR RETARD; NOT FOUND; 180 MG CAP. 2 BL X 10; BAL
1014600500190; BALCOR RETARD; BALCOR RETARD; NOT FOUND; 300 MG CAP AP CX 2 BL AL PLAS INC X 10; BAL
1014600500042; BALCOR RETARD; BALCOR RETARD; NOT FOUND; 90 MG CAP AP CX 2 BL AL PLAS INC X 10; BAL
1014600500301; BALCOR RETARD; BALCOR RETARD; NOT FOUND; 120 MG CAP AP CT BL AL PLAS INC X 30; BAL
1014600500281; BALCOR RETARD; BALCOR RETARD; NOT FOUND; 180 MG CAP AP CT BL AL PLAS INC X 30; BAL
1014600500263; BALCOR RETARD; BALCOR RETARD; NOT FOUND; 90 MG CAP AP CT BL AL PLAS INC X 30; BAL
1014600500182; BALCOR RETARD; BALCOR RETARD; NOT FOUND; 300 MG CAP AP CT BL AL PLAS INC X 30; BAL
1014600500204; BALCOR; BALCOR; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 30; BAL
