538508302136412; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 250 MG/5 ML  PO PREP EXT SUS OR CT FR VD AMB X 150 ML; HY_
538508303132410; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 250 MG/5 ML PO PREP EXT SUS OR CX 50 FR VD AMB X 150 ML (EMB HOSP); HY_
538508304139419; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 250 MG/5 ML PO PREP EXT SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); HY_
538508301113419; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PVDC INC X 12; HY_
538508308118416; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PVDC INC X 15; HY_
538508307111418; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PVDC INC X 21; HY_
538508305119411; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 210 (EMB FRAC); HY_
538508306115411; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PVDC INC X 500 (EMB HOSP); HY_
538509202135412; NEO AMPICILIN; NEO AMPICILIN; NOT FOUND; 250 MG/5 ML PO SUS OR CT FR VD AMB X 60 ML; HY_
538508801116417; NEOPIRIDIN; NEOPIRIDIN; NOT FOUND; 1.466 MG + 10 MG PST SIMP CT ENV AL X 12; HY_
538508203162415; NEO METRODAZOL; NEO METRODAZOL; NOT FOUND; 125 MG/G CREM VAG CT BG AL X 40 G + APLIC; HY_
538508201135410; NEO METRODAZOL; NEO METRODAZOL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 80 ML; HY_
538508202131419; NEO METRODAZOL; NEO METRODAZOL; NOT FOUND; 40 MG/ML SUS OR CX 50 FR VD AMB X 80 ML (EMB HOSP); HY_
538508204118411; NEO METRODAZOL; NEO METRODAZOL; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 20; HY_
538505301112418; NEOPRAZOL; NEOPRAZOL; NOT FOUND; 10 MG CAP GEL DURA CT FR PLAS OPC X 14; HY_
538513090021002; NPLATE; NPLATE; NOT FOUND; 250 MCG PO LIOF INJ CT FA VD INC; HY_
538506601160416; NEO TIONAZOL; NEO TIONAZOL; NOT FOUND; 10 MG/G CR DERM CT BG PLAS OPC X 30 G; HY_
