538001801111114, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM REV CX BL AL/PVC X 300 (EMB HOSP) , A1F
538001807111116, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM REV CT BL AL/PVC X 30, A1F
538001808116111, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM REV CX BL AL/PVC X 300 (EMB HOSP) , A1F
538001809112111, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM REV CX BL AL/PVC X 600 (EMB HOSP), A1F
538001802118112, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM REV CT BL AL/PVC X 30, A1F
538001804110119, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM REV CX BL AL/PVC X 300 (EMB HOSP) , A1F
538001805117117, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM REV CX BL AL/PVC X 600 (EMB HOSP), A1F
538001803114110, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM REV CT BL AL/PVC X 30, A1F
538001801111114, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM REV CX BL AL/PVC X 300 (EMB HOSP) , A1F
538001806113115, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM REV CX BL AL/PVC X 600 (EMB HOSP), A1F
538001807111116, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM REV CT BL AL/PVC X 30, A1F
538001808116111, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM REV CX BL AL/PVC X 300 (EMB HOSP) , A1F
538001809112111, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM REV CX BL AL/PVC X 600 (EMB HOSP), A1F
538001802118112, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM REV CT BL AL/PVC X 30, A1F
538001804110119, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM REV CX BL AL/PVC X 300 (EMB HOSP) , A1F
538001805117117, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM REV CX BL AL/PVC X 600 (EMB HOSP), A1F
538001803114110, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM REV CT BL AL/PVC X 30, A1F
