504414010043118; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 20 FA VD INC (EMB HOSP); BU_
504414010043418; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML (EMB HOSP); BU_
504414010043518; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML (EMB HOSP); BU_
504414010043618; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP); BU_
504414010043718; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 100 FA VD INC (EMB HOSP); BU_
504414010044018; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 10 FA VD INC (EMB HOSP); BU_
504414010043018; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 20 FA VD INC (EMB HOSP); BU_
504414010043218; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML (EMB HOSP); BU_
504414010043318; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP); BU_
504414010043818; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 10 FA VD INC (EMB HOSP); BU_
504414010043918; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML (EMB HOSP); BU_
504414010044118; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 100 FA VD INC (EMB HOSP); BU_
504414010048818; DOBUTARISTON; DOBUTARISTON; NOT FOUND; 12.5 MG/ML SOL INJ CX 20 AMP VD INC  X 20 ML; BU_
504414120052503; DOPABANE; DOPABANE; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML ; BU_
504414010042918; DOPABANE; DOPABANE; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD INC X 10 ML ; BU_
504414010039406; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CX 50 AMP VD INC X 3 ML (EMB HOSP); BU_
504414010039516; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CX 5 AMP VD INC X 3 ML (EMB HOSP); BU_
504414010045218; DNAREN; DNAREN; NOT FOUND; 25 MG/ML  SOL INJ CX 50  AMP  VD INC  X 3 ML (EMB HOSP); BU_
