528102504115417, RESFEDRYL, RESFEDRYL, NOT FOUND, (400 + 5 + 5) MG CAP GEL DURA CT 50 BL AL PLAS INC X 4, PLB
528102501116412, RESFEDRYL, RESFEDRYL, NOT FOUND, 20 CAPS, PLB
528102505138410, RESFEDRYL, RESFEDRYL, NOT FOUND, 400 MG/5G + 4 MG /5G+ 4MG/5G PO SOL OR CX 100 ENV AL X 5G, PLB
528102506134419, RESFEDRYL, RESFEDRYL, NOT FOUND, 400MG + 4MG + 4MG/ 5G PO SOL OR CX 50 ENV AL X 5G, PLB
528102502139416, RESFEDRYL, RESFEDRYL, NOT FOUND, GOTAS 20 ML, PLB
528102503135414, RESFEDRYL, RESFEDRYL, NOT FOUND, XPE. 100 ML, PLB
528104101115415, RITCOR, RITCOR, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 28, PLB
528104104114411, RITCOR, RITCOR, NOT FOUND, 50 MG COM CT AL PLAS INC X 28, PLB
528102601110416, RITPRESS, RITPRESS, NOT FOUND, 12.5 MG 15 COMP, PLB
528102602117414, RITPRESS, RITPRESS, NOT FOUND, 12.5 MG 30 COMP, PLB
528102603113412, RITPRESS, RITPRESS, NOT FOUND, 25 MG 15 COMP, PLB
528102604111413, RITPRESS, RITPRESS, NOT FOUND, 25 MG 30 COMP, PLB
528102605116419, RITPRESS, RITPRESS, NOT FOUND, 50 MG 15 COMP, PLB
528102606112417, RITPRESS, RITPRESS, NOT FOUND, 50 MG 30 COMP, PLB
528102504115417, RESFEDRYL, RESFEDRYL, NOT FOUND, (400 + 5 + 5) MG CAP GEL DURA CT 50 BL AL PLAS INC X 4, PLB
528102501116412, RESFEDRYL, RESFEDRYL, NOT FOUND, 20 CAPS, PLB
528102505138410, RESFEDRYL, RESFEDRYL, NOT FOUND, 400 MG/5G + 4 MG /5G+ 4MG/5G PO SOL OR CX 100 ENV AL X 5G, PLB
528102506134419, RESFEDRYL, RESFEDRYL, NOT FOUND, 400MG + 4MG + 4MG/ 5G PO SOL OR CX 50 ENV AL X 5G, PLB
528102502139416, RESFEDRYL, RESFEDRYL, NOT FOUND, GOTAS 20 ML, PLB
528102503135414, RESFEDRYL, RESFEDRYL, NOT FOUND, XPE. 100 ML, PLB
528104101115415, RITCOR, RITCOR, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 28, PLB
