1553700010031; PANTIUM; PANTIUM; NOT FOUND; 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML; A1F
1553700010023; PANTIUM; PANTIUM; NOT FOUND; 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML; A1F
1553700010015; PANTIUM; PANTIUM; NOT FOUND; 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML; A1F
1553700040021; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ ML SOL INJ IV CT FA VD INC X 16.7 ML; A1F
1553700040011; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ ML SOL INJ IV CT FA VD INC X 5 ML; A1F
1553700040038; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ ML SOL INJ IV CT FA VD INC X 50 ML; A1F
1553700120023; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 14; A1F
1553700120031; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 28; A1F
1553700120041; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP); A1F
1553700120015; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 7; A1F
1553700120066; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 14; A1F
1553700120074; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 28; A1F
1553700120082; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP); A1F
1553700120058; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 7; A1F
1553700330060; PEMETREXEDE DISSODICO; PEMETREXEDE DISSODICO; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC X 10 ML; A1F
1553700330052; PEMETREXEDE DISSODICO; PEMETREXEDE DISSODICO; NOT FOUND; 100 MG PO LIOF INJ CT 05 FA VD INC X 10 ML; A1F
1553700330044; PEMETREXEDE DISSODICO; PEMETREXEDE DISSODICO; NOT FOUND; 100 MG PO LIOF INJ CT 10 FA VD INC X 10 ML; A1F
1553700330036; PEMETREXEDE DISSODICO; PEMETREXEDE DISSODICO; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC X 50 ML; A1F
1553700330028; PEMETREXEDE DISSODICO; PEMETREXEDE DISSODICO; NOT FOUND; 500 MG PO LIOF INJ CT 05 FA VD INC X 50 ML; A1F
1553700330011; PEMETREXEDE DISSODICO; PEMETREXEDE DISSODICO; NOT FOUND; 500 MG PO LIOF INJ CT 10 FA VD INC X 50 ML; A1F
1553700340015; PEMTRYX; PEMTRYX; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC X 10 ML ; A1F
1553700340023; PEMTRYX; PEMTRYX; NOT FOUND; 100 MG PO LIOF INJ CT 05 FA VD INC X 10 ML; A1F
1553700340031; PEMTRYX; PEMTRYX; NOT FOUND; 100 MG PO LIOF INJ CT 10 FA VD INC X 10 ML; A1F
1553700340041; PEMTRYX; PEMTRYX; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC X 10 ML ; A1F
1553700340058; PEMTRYX; PEMTRYX; NOT FOUND; 500 MG PO LIOF INJ CT 05 FA VD INC X 10 ML; A1F
1553700340066; PEMTRYX; PEMTRYX; NOT FOUND; 500 MG PO LIOF INJ CT 10 FA VD INC X 10 ML; A1F
1553700060055; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 40 MG COM CT BL AL/AL X 10; A1F
1553700060012; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG COM CT BL AL/AL X 10 ; A1F
1553700060020; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG COM CT BL AL/AL X 30; A1F
1553700060039; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL/AL X 10 ; A1F
1553700060047; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL/AL X 30; A1F
1553700060063; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 40 MG COM CT BL AL/AL X 30; A1F
