1553700030016; CARBOPLATINA; CARBOPLATINA; CARBOPLATINA; 10 MG/ML SOL INJ IV CT FA VD AMB X 5 ML ; A1F
1553700030024; CARBOPLATINA; CARBOPLATINA; CARBOPLATINA; 10 MG/ML SOL INJ IV CT FA VD AMB X 15 ML ; A1F
1553700030032; CARBOPLATINA; CARBOPLATINA; CARBOPLATINA; 10 MG/ML SOL INJ IV CT FA VD AMB X 45 ML ; A1F
1553700250016; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 14 ; A1F
1553700250032; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 28; A1F
1553700250040; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 30; A1F
1553700250059; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 140 (EMB HOSP); A1F
1553700250067; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 300 (EMB HOSP); A1F
1553700250024; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 15; A1F
1553700020037; CISPLATINA; CISPLATINA; CISPLATINA; 1 MG/ML SOL INJ IV CT FA VD AMB X 50 ML; A1F
1553700020029; CISPLATINA; CISPLATINA; CISPLATINA; 1 MG/ML SOL INJ IV CT FA VD AMB X 25 ML  ; A1F
1553700020010; CISPLATINA; CISPLATINA; CISPLATINA; 1 MG/ML SOL INJ IV CT FA VD AMB X 10 ML  ; A1F
1553700050025; CITARABINA; CITARABINA; CITARABINA; 100 MG/ML SOL INJ CT FA VD INC X 5 ML; A1F
1553700050033; CITARABINA; CITARABINA; CITARABINA; 100 MG/ML SOL INJ CT FA VD INC X 10 ML; A1F
1553700050017; CITARABINA; CITARABINA; CITARABINA; 100 MG/ML SOL INJ CT FA VD INC X 1 ML; A1F
1553700150011; CLORIDRATO DE EPIRRUBICINA; CLORIDRATO EPIRRUBICINA; CLORIDRATO EPIRRUBICINA; 2 MG/ML SOL INJ IM CT FR VD INC X 5 ML; A1F
1553700150021; CLORIDRATO DE EPIRRUBICINA; CLORIDRATO EPIRRUBICINA; CLORIDRATO EPIRRUBICINA; 2 MG/ML SOL INJ IM CT FR VD INC X 10 ML; A1F
1553700150038; CLORIDRATO DE EPIRRUBICINA; CLORIDRATO EPIRRUBICINA; CLORIDRATO EPIRRUBICINA; 2 MG/ML SOL INJ IM CT FR VD INC X 25 ML; A1F
1553700110011; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 200 MG PO LIOF INJ CT FA VD INC X 10 ML; A1F
1553700110028; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 1000 MG PO LIOF INJ CT FA VD INC X 50 ML; A1F
1553700130010; CLORIDRATO DE IRINOTECANO; CLORIDRATO IRINOTECANO; CLORIDRATO IRINOTECANO; 20 MG/ML SOL INJ CT FA VD AMB X 2 ML ; A1F
1553700130029; CLORIDRATO DE IRINOTECANO; CLORIDRATO IRINOTECANO; CLORIDRATO IRINOTECANO; 20 MG/ML SOL INJ CT FA VD AMB X 5 ML ; A1F
1553700090019; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PVC INC X 30; A1F
1553700090027; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PVC INC X 105 (EMB HOSP); A1F
1553700090035; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PVC INC X 450 (EMB HOSP); A1F
1553700090051; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PVC INC X 210 (EMB HOSP); A1F
1553700090061; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PVC INC X 600 (EMB HOSP); A1F
1553700090043; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PVC INC X 15 ; A1F
1553700290018; CLORIDRATO DE TOPOTECANA; CLORIDRATO TOPOTECANA; CLORIDRATO TOPOTECANA; 4 MG PO LIOF SOL INJ CT FA VD TRANS X 5 ML; A1F
