501102002169416; NEBACETIN; NEBACETIN; NOT FOUND; 5.0 MG/G + 250 UI/G POM CT BG AL X 15 G; TAK
501102003165414; NEBACETIN; NEBACETIN; NOT FOUND; 5.0 MG/G + 250 UI/G POM CT BG AL X 50 G; TAK
501114030022002; NESINA; NESINA; NOT FOUND; 12.5 MG COM REV CT BL AL  AL X 10 ; TAK
501114030022102; NESINA; NESINA; NOT FOUND; 12.5 MG COM REV CT BL AL  AL X 30; TAK
501114030022202; NESINA; NESINA; NOT FOUND; 12.5 MG COM REV CT BL AL  AL X 60; TAK
501114030022302; NESINA; NESINA; NOT FOUND; 25MG COM REV CT BL AL  AL X 10 ; TAK
501114030022402; NESINA; NESINA; NOT FOUND; 25MG COM REV CT BL AL  AL X 30; TAK
501114030022502; NESINA; NESINA; NOT FOUND; 25MG COM REV CT BL AL  AL X 60; TAK
501114030021702; NESINA; NESINA; NOT FOUND; 6.25 MG COM REV CT BL AL X 10 ; TAK
501114030021802; NESINA; NESINA; NOT FOUND; 6.25 MG COM REV CT BL AL X 30; TAK
501114030021902; NESINA; NESINA; NOT FOUND; 6.25 MG COM REV CT BL AL X 60; TAK
501103502130411; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; TAK
501103501118416; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS INC X 20; TAK
501103504117321; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISPLAY BL AL PLAS INC X 200 (EMB MULT); TAK
501113100021003; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG LT BL AL PLAS INC X 10 ; TAK
501113100021103; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG LT BL AL PLAS INC X 20; TAK
501113100021203; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG LT BL AL PLAS INC X 30; TAK
501113020020703; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG LT BL AL PLAS INC X 40; TAK
501113100021303; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS INC X 240; TAK
501113050020803; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISPLAY BL AL PLAS INC X 30; TAK
501112110020003; NORIPURUM; NORIPURUM; NOT FOUND; 100 MG COM MAST CT BL AL/AL X 10; TAK
501102207135416; NORIPURUM XAROPE; NORIPURUM XAROPE; NOT FOUND; 10 MG/ML XPE CT FR PLAS AMB X 100 ML; TAK
501102208131414; NORIPURUM XAROPE; NORIPURUM XAROPE; NOT FOUND; 10 MG/ML XPE CT FR PLAS AMB X 120 ML; TAK
501102201110411; NORIPURUM; NORIPURUM; NOT FOUND; 100 MG COM MAST CT 4 BL AL/AL X 5; TAK
501102209111417; NORIPURUM; NORIPURUM; NOT FOUND; 100 MG COM MAST CT BL AL/AL X 30; TAK
501102205132411; NORIPURUM SOLUÇÃO ORAL; NORIPURUM SOLUCAO ORAL; NOT FOUND; 50 MG/ML SOL OR CT FR PLAS AMB GOT X 15 ML; TAK
501102203156419; NORIPURUM IM; NORIPURUM IM; NOT FOUND; 50 MG/ML SOL INJ IM CX 5 AMP VD INC X 2 ML + 5 AGU; TAK
501102210136411; NORIPURUM SOLUÇÃO ORAL; NORIPURUM SOLUCAO ORAL; NOT FOUND; 50 MG/ML SOL OR CT FR PLAS AMB GOT X 30 ML; TAK
501102202117411; NORIPURUM FÓLICO; NORIPURUM FOLICO; NOT FOUND; 100 MG + 0.35 MG COM MAST CT BL AL/AL X 20; TAK
501104301112412; NORIPURUM FÓLICO; NORIPURUM FOLICO; NOT FOUND; 100 MG + 0.35 MG COM MAST CT BL AL/AL X 30; TAK
501112110019903; NORIPURUM FÓLICO; NORIPURUM FOLICO; NOT FOUND; 100 MG + 0.35 MG COM MAST CT BL AL/AL X 10; TAK
501102102171412; NENE DENT N GEL; NENE DENT N GEL; NOT FOUND; SOL TOP CT FR PLAS AMB GOT X 10 G; TAK
501102101167411; NENE DENT N GEL; NENE DENT N GEL; NOT FOUND; GEL CT BG AL X 10 G; TAK
501102204152417; NORIPURUM EV; NORIPURUM EV; NOT FOUND; 20 MG/ML SOL INJ EV CX 5 AMP VD INC X 5 ML; TAK
