501100902154419, DRAMIN B6, DRAMIN B6, NOT FOUND, 50 MG/ML + 50 MG/ML SOL INJ CX 10 AMP VD AMB X 1 ML, TAK
501100905153413, DRAMIN B6, DRAMIN B6, NOT FOUND, 50 MG/ML + 50 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB FRAC), TAK
501100904130411, DRAMIN B6, DRAMIN B6, NOT FOUND, 25 MG + 5 MG SOL OR CT FR PLAS AMB GOT X 20 ML, TAK
501100901115411, DRAMIN B6, DRAMIN B6, NOT FOUND, 50 MG + 100 MG COM CT 2 BL AL PLAS INC X 10, TAK
501100907113311, DRAMIN B6, DRAMIN B6, NOT FOUND, 50MG + 10MG COM REV CT BL PVC/PVDC AL X 30, TAK
501100908136315, DRAMIN B6, DRAMIN B6, NOT FOUND, 25MG/ML + 5MG/ML SOL OR CT FR PLAS AMB GOT X 30ML, TAK
501101001150411, DRAMIN B6 DL, DRAMIN B6 DL, NOT FOUND, 3 MG/ML + 5 MG/ML + 100 MG/ML + 100 MG/ML SOL INJ CX 100 AMP VD AMB X 10 ML (EMB FRAC), TAK
501112070019202, DEXILANT, DEXILANT, NOT FOUND, 30 MG CAP LIB RETARD CT BL AL/AL X 10, TAK
501112070019102, DEXILANT, DEXILANT, NOT FOUND, 30 MG CAP LIB RETARD CT BL AL/AL X 2, TAK
501112070019302, DEXILANT, DEXILANT, NOT FOUND, 30 MG CAP LIB RETARD CT BL AL/AL X 30, TAK
501112070019402, DEXILANT, DEXILANT, NOT FOUND, 30 MG CAP LIB RETARD CT BL AL/AL X 60, TAK
501112070019602, DEXILANT, DEXILANT, NOT FOUND, 60 MG CAP LIB RETARD CT BL AL/AL X 10, TAK
501112070019502, DEXILANT, DEXILANT, NOT FOUND, 60 MG CAP LIB RETARD CT BL AL/AL X 2, TAK
501112070019702, DEXILANT, DEXILANT, NOT FOUND, 60 MG CAP LIB RETARD CT BL AL/AL X 30, TAK
501112070019802, DEXILANT, DEXILANT, NOT FOUND, 60 MG CAP LIB RETARD CT BL AL/AL X 60, TAK
501114090022605, DRAMIN CAPSGEL, DRAMIN CAPSGEL, NOT FOUND, 25MG CAP GEL MOLE CT BL AL PLAS INC X 100 (EMB FRAC), TAK
501100804111316, DRAMIN, DRAMIN, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, TAK
501100801110416, DRAMIN, DRAMIN, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 400 (EMB FRAC), TAK
501100802133411, DRAMIN, DRAMIN, NOT FOUND, 2.5 MG/ML SOL OR CT FR PLAS TRANS X 120 ML, TAK
501105201111315, DRAMIN CAPSGEL, DRAMIN CAPSGEL, NOT FOUND, 25 MG CAP GEL MOLE CT BL AL PLAS INC X 10, TAK
501105202118313, DRAMIN CAPSGEL, DRAMIN CAPSGEL, NOT FOUND, 25 MG CAP GEL MOLE CT BL AL PLAS INC X 4, TAK
501112020018705, DRAMIN, DRAMIN, NOT FOUND, 50MG CAP GEL MOLE CT BL AL PLAS INC X 10, TAK
501112020018505, DRAMIN, DRAMIN, NOT FOUND, 50MG CAP GEL MOLE CT BL AL PLAS INC X 100 (EMB FRAC), TAK
501112020018605, DRAMIN, DRAMIN, NOT FOUND, 50MG CAP GEL MOLE CT BL AL PLAS INC X 4 , TAK
501113120021403, DERMODEX, DERMODEX, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 15 G, TAK
501113120021503, DERMODEX, DERMODEX, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 30 G, TAK
501112050019013, DERMODEX, DERMODEX, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G, TAK
501105101117214, DAXAS, DAXAS, NOT FOUND, 500 MCG COM REV CT BL PVC/PVDC/AL X 30, TAK
