501102801169417, PROCTYL, PROCTYL, NOT FOUND, 50 MG/G + 10 MG/G POM RET CT 10 BG AL X 3 G + 10 APLIC, TAK
501102805164411, PROCTYL, PROCTYL, NOT FOUND, 50 MG/G + 10 MG/G POM RET CT 05 BG AL X 3 G + 5 APLIC, TAK
501102802165415, PROCTYL, PROCTYL, NOT FOUND, 50 MG/G + 10 MG/G POM RET CT BG AL X 30 G + 10 APLIC, TAK
501102803145418, PROCTYL, PROCTYL, NOT FOUND, 100 MG + 27 MG SUP RET CT STR X 10, TAK
501102804141416, PROCTYL, PROCTYL, NOT FOUND, 100 MG + 27 MG SUP RET CT STR X 15, TAK
501102806144315, PROCTYL, PROCTYL, NOT FOUND, 100 MG + 27 MG SUP RET CT STR X 5, TAK
501102501114412, PANTOZOL, PANTOZOL, NOT FOUND, 20 MG COM REV LIB RETARD CT BL AL/AL X 14, TAK
501102513112411, PANTOZOL, PANTOZOL, NOT FOUND, 20 MG COM REV LIB RETARD CT BL AL/AL X 2, TAK
501102502110410, PANTOZOL, PANTOZOL, NOT FOUND, 20 MG COM REV LIB RETARD CT BL AL/AL X 28, TAK
501102508119411, PANTOZOL, PANTOZOL, NOT FOUND, 20 MG COM REV LIB RETARD CT BL AL/AL X 42, TAK
501102510113415, PANTOZOL, PANTOZOL, NOT FOUND, 20 MG COM REV LIB RETARD CT BL AL/AL X 56, TAK
501102503117419, PANTOZOL, PANTOZOL, NOT FOUND, 20 MG COM REV LIB RETARD CT BL AL/AL X 7, TAK
501102507155412, PANTOZOL, PANTOZOL, NOT FOUND, 4 MG/ML PO LIOF INJ CX FA VD INC+AMP DIL X 10 ML, TAK
501102504113417, PANTOZOL, PANTOZOL, NOT FOUND, 40 MG COM REV LIB RETARD CT BL AL/AL X 14, TAK
501102514135316, PANTOZOL, PANTOZOL, NOT FOUND, 40 MG GRAN REV CT 2 ENV, TAK
501102512116411, PANTOZOL, PANTOZOL, NOT FOUND, 40 MG COM REV LIB RETARD CT BL AL/AL X 2, TAK
501102515131314, PANTOZOL, PANTOZOL, NOT FOUND, 40 MG GRAN REV CT 28 ENV, TAK
501102505111418, PANTOZOL, PANTOZOL, NOT FOUND, 40 MG COM REV LIB RETARD CT BL AL/AL X 28, TAK
501102509115418, PANTOZOL, PANTOZOL, NOT FOUND, 40 MG COM REV LIB RETARD CT BL AL/AL X 42, TAK
501102511111416, PANTOZOL, PANTOZOL, NOT FOUND, 40 MG COM REV LIB RETARD CT BL AL/AL X 56, TAK
501102506116413, PANTOZOL, PANTOZOL, NOT FOUND, 40 MG COM REV LIB RETARD CT BL AL/AL X 7, TAK
