501114090022701, EDARBI, EDARBI, NOT FOUND, 40 MG COM CT BL AL AL X 10 , TAK
501114090022801, EDARBI, EDARBI, NOT FOUND, 40 MG COM CT BL AL AL X 30, TAK
501114090022901, EDARBI, EDARBI, NOT FOUND, 40 MG COM CT BL AL AL X 60 , TAK
501114090023001, EDARBI, EDARBI, NOT FOUND, 80 MG COM CT BL AL AL X 10 , TAK
501114090023101, EDARBI, EDARBI, NOT FOUND, 80 MG COM CT BL AL AL X 30, TAK
501114090023201, EDARBI, EDARBI, NOT FOUND, 80 MG COM CT BL AL AL X 60, TAK
501114120023305, EDARBICLOR, EDARBICLOR, NOT FOUND, 20MG + 12.5MG COM REV CT BL AL AL X 10 , TAK
501114120023405, EDARBICLOR, EDARBICLOR, NOT FOUND, 20MG + 12.5MG COM REV CT BL AL AL X 30, TAK
501114120023505, EDARBICLOR, EDARBICLOR, NOT FOUND, 20MG + 12.5MG COM REV CT BL AL AL X 60, TAK
501114120023605, EDARBICLOR, EDARBICLOR, NOT FOUND, 20MG + 12.5MG COM REV CT BL AL AL X 90, TAK
501114120023705, EDARBICLOR, EDARBICLOR, NOT FOUND, 40 MG + 12.5MG COM REV CT BL AL AL X 10, TAK
501114120023805, EDARBICLOR, EDARBICLOR, NOT FOUND, 40 MG + 12.5 MG COM REV CT BL AL AL X 30, TAK
501114120023905, EDARBICLOR, EDARBICLOR, NOT FOUND, 40 MG + 12.5MG COM REV CT BL AL AL X 60, TAK
501114120024005, EDARBICLOR, EDARBICLOR, NOT FOUND, 40 MG + 12.5 MG COM REV CT BL AL AL X 90, TAK
501114120024105, EDARBICLOR, EDARBICLOR, NOT FOUND, 40 MG + 25 MG COM REV CT BL AL AL X 10  , TAK
501114120024205, EDARBICLOR, EDARBICLOR, NOT FOUND, 40 MG + 25 MG COM REV CT BL AL AL X 30, TAK
501114120024305, EDARBICLOR, EDARBICLOR, NOT FOUND, 40 MG + 25 MG COM REV CT BL AL AL X 60, TAK
501114120024405, EDARBICLOR, EDARBICLOR, NOT FOUND, 40 MG + 25 MG COM REV CT BL AL AL X 90, TAK
