538813702169410; FLAMADOR; FLAMADOR; NOT FOUND; 25 MG/G GEL CT BG AL X 30 G; LG6
538813701111419; FLAMADOR; FLAMADOR; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 24; LG6
538812010039206; FLUOCINOLONA ACETONIDA +  SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAÍNA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ ML + 10.000 UI/ ML + 3.500 MG/ ML + 20 MG/ ML SOL OTO CT FR PLAS OPC GOT X 10 ML; LG6
538803301171115; FLUOCINOLONA ACETONIDA + SULFATO DE NEOMICINA + SULFATO DE POLIMIXINA B + CLORIDRATO DE LIDOCAÍNA; FLUOCINOLONA ACETONIDA SULFATO NEOMICINA SULFATO POLIMIXINA B CLORIDRATO LIDOCAINA; NOT FOUND; 0.275 MG/ ML + 3.85 MG/ ML + 11.000 UI/ ML + 20 MG/ ML SOL OTO CT FR PLAS OPC GOT X 10 ML; LG6
538803701119110; FENOFIBRATO; FENOFIBRATO; FENOFIBRATO; 200 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
538819501114413; FENOBRATY; FENOBRATY; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
538815401115113; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS OPC X 30; LG6
538815501136112; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP DOS; LG6
538812302116117; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; LG6
538812303112115; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; LG6
538812301111111; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 14; LG6
538803801113416; FLAMANAN; FLAMANAN; NOT FOUND; 20MG COM SOL CT BL AL PLAS OPC X 10; LG6
538815801113411; FLATOL MAX; FLATOL MAX; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; LG6
538819602115415; FLATOL; FLATOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; LG6
538819601135412; FLATOL; FLATOL; NOT FOUND; 75 MG/ML EMU OR FR PLAS OPC GOT X 10 ML; LG6
538819603138419; FLATOL; FLATOL; NOT FOUND; 75 MG / ML EMU OR FR PLAS OPC GOT X 15 ML; LG6
