538808401113411; REPOPIL; REPOPIL; NOT FOUND; 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21; LG6
538808402111410; REPOPIL; REPOPIL; NOT FOUND; 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63; LG6
538802502112411; REPOCAL D; REPOCAL D; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 60; LG6
538802501116411; REPOCAL D; REPOCAL D; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 75; LG6
538808802177419; RINIGRAN; RINIGRAN; NOT FOUND; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML; LG6
538808801170410; RINIGRAN; RINIGRAN; NOT FOUND; 1.0 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML; LG6
538821001115110; REPAGLINIDA; REPAGLINIDA; REPAGLINIDA; 2.0 MG COM CT BL AL PLAS OPC X 30; LG6
538816301173111; RIFAMICINA; RIFAMICINA; RIFAMICINA; 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML; LG6
538804501113117; RISEDRONATO SÓDICO; RISEDRONATO SODICO; RISEDRONATO SODICO; 35 MG COM REV CT BL AL PLAS OPC X 4; LG6
538806101112411; RISEDRONEL; RISEDRONEL; NOT FOUND; 35 MG COM REV CT BL AL PLAS OPC X 4; LG6
538814080049406; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 5 MG COM REV CT BL AL AL X 30; LG6
538817602118418; ROSUSTATIN; ROSUSTATIN; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; LG6
538820902119118; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; LG6
538817601111411; ROSUSTATIN; ROSUSTATIN; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; LG6
538820901112111; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; LG6
