538804901170411; GLAUCUR; GLAUCUR; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML; LG6
538804902177418; GLAUCUR; GLAUCUR; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; LG6
538813801116110; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
538813802112119; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
538814080049606; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 24   ; LG6
538814080049706; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 12 ; LG6
538813903113412; GLIANSOR; GLIANSOR; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; LG6
538803403118116; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 30; LG6
538813901110416; GLIANSOR; GLIANSOR; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; LG6
538803402111118; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 60; LG6
538803401115111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS OPC X 30; LG6
538813902117414; GLIANSOR; GLIANSOR; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; LG6
538819701131117; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; LG6
538819702136112; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; LG6
538818801165414; GENTAGRAN; GENTAGRAN; NOT FOUND; 3 MG/G POM OFT CT BG AL X 3 G; LG6
