72907, AC DEXAMETASONA MG , AC DEXAMETASONA, ACETATO DEXAMETASONA, CREME DERMAT 1 MG 10 G x 1 (/G), GM2
68137, AC TR+S.N+GR+NI.MG , AC TR S N GR NI, NOT FOUND, CREME 30 G x 1, GM2
68136, AC TR+S.N+GR+NI.MG , AC TR S N GR NI, NOT FOUND, POM. 30 G x 1, GM2
66081, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. AD 50 MG 120 ML x 1 (/5ML), GM2
66080, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. PED. 5 MG 120 ML x 1 (/5ML), GM2
92381, ACECLOFENACO CP MG , ACECLOFENACO CP, NOT FOUND, CPR REVEST 100 MG x 12, GM2
92383, ACECLOFENACO CP MG , ACECLOFENACO CP, NOT FOUND, CPR REVEST 100 MG x 24, GM2
72270, ACECLOFENACO MG , ACECLOFENACO, ACECLOFENACO, CREME DERMAT 15 MG 30 G x 1 (/G), GM2
68516, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. AD 40 MG 120 ML x 1 (/ML), GM2
68515, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. INF 20 MG 120 ML x 1 (/ML), GM2
66083, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. 20 MG 100 ML x 1 (/ML), GM2
68717, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 600 MG 5 G x 16, GM2
69357, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 100 MG 5 G x 16, GM2
70573, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 100 MG 5 G x 10, GM2
66674, ACETON.TRIANCIN.MG , ACETON TRIANCIN, NOT FOUND, POM.BUCAL 1 MG 10 G x 1 (/G), GM2
69422, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), GM2
75455, ACID.MEFENAMICO MG , ACID MEFENAMICO, ACIDO MEFENAMICO, CPR 500 MG x 24, GM2
84637, ACNOVA , ACNOVA, NOT FOUND, CAPS 20 MG x 30, GM2
84635, ACNOVA , ACNOVA, NOT FOUND, CAPS 10 MG x 30, GM2
80443, ACNUSS , ACNUSS, NOT FOUND, GEL SER A/C 30 ML x 1, GM2
105402, ACNUSS PLUS , ACNUSS PLUS, NOT FOUND, FL G AIR LES 30 ML x 1, GM2
68753, ADAPALENO MG , ADAPALENO, ADAPALENO, GEL. 1 MG 30 G x 1 (/G), GM2
68754, ADAPALENO MG , ADAPALENO, ADAPALENO, CREME 1 MG 30 G x 1 (/G), GM2
66085, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, CPR MASC 400 MG x 1, GM2
69305, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, CPR MASC 200 MG x 2, GM2
69306, ALBENDAZOL SUSP MG , ALBENDAZOL SUSP, NOT FOUND, SUSP ORAL 40 MG 10 ML x 1 (/ML), GM2
68719, ALENDRONATO SOD.MG , ALENDRONATO SOD, ALENDRONATO SODIO TRI-HIDRATADO, CPR 70 MG x 4, GM2
70021, ALGE.AC+ENA.EST.MG , ALGE AC ENA EST, NOT FOUND, A.IM 150 MG 1 ML x 1, GM2
70026, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.50 MG x 30, GM2
70023, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 30, GM2
70025, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 2 MG x 30, GM2
66086, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.25 MG x 20, GM2
66087, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.50 MG x 20, GM2
66088, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 20, GM2
70024, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 2 MG x 20, GM2
70022, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.25 MG x 30, GM2
86042, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 400 MG 70 ML x 1 (/57), GM2
73407, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 14 (/125), GM2
73406, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 12 (/125), GM2
58167, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, SUSP ORAL 250 MG 150 ML x 1 (/5ML), GM2
66089, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, SUSP ORAL 400 MG 100 ML x 1 (/5ML), GM2
58166, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, GM2
58165, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 15, GM2
66090, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CPR REVEST 875 MG x 14, GM2
71246, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CPR 500 MG x 21, GM2
80446, ANNLOE , ANNLOE, NOT FOUND, ESPUMA LIMP 150 ML x 1, GM2
80444, ANNLOE , ANNLOE, NOT FOUND, CREME CORPO 200 ML x 1, GM2
80447, ANNLOE , ANNLOE, NOT FOUND, CR ROSTO/MAO 50 ML x 1, GM2
66678, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 30, GM2
66679, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 30, GM2
66677, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 30, GM2
66681, ATENOLOL+CLORTA.MG , ATENOLOL CLORTA, NOT FOUND, CPR 12.5 MG x 30 (/50), GM2
66680, ATENOLOL+CLORTA.MG , ATENOLOL CLORTA, NOT FOUND, CPR 25 MG x 30 (/100), GM2
78518, ATORLESS , ATORLESS, NOT FOUND, CPR REVEST 20 MG x 30, GM2
78517, ATORLESS , ATORLESS, NOT FOUND, CPR REVEST 10 MG x 30, GM2
78519, ATORLESS , ATORLESS, NOT FOUND, CPR REVEST 40 MG x 30, GM2
78995, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 20 MG x 30, GM2
78994, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 10 MG x 30, GM2
78993, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 40 MG x 30, GM2
79054, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 80 MG x 30, GM2
69731, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 1 G x 1, GM2
