71374, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, GM2
71375, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, GM2
76656, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, GM2
66733, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, GM2
66732, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 12, GM2
66735, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, GM2
80433, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, GM2
80432, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, GM2
76981, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, GM2
80434, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, GM2
76980, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, GM2
75645, GLYFLUCAN , GLYFLUCAN, NOT FOUND, CAPS 150 MG x 1, GM2
75646, GLYFLUCAN , GLYFLUCAN, NOT FOUND, CAPS 150 MG x 2, GM2
66736, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 66.6 MG 120 ML x 1 (/5ML), GM2
