75334, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 6 MG 16.7 ML x 1 (/ML), GMK
75335, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 6 MG 25 ML x 1 (/ML), GMK
70320, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 6 MG 50 ML x 1 (/ML), GMK
103443, PEME. DISSODICO MG , PEME DISSODICO, NOT FOUND, F.AMP INFUS 100 MG 15 ML x 1, GMK
106703, PEME. DISSODICO MG , PEME DISSODICO, NOT FOUND, F.AMP INFUS 500 MG 30 ML x 1, GMK
95129, PEMEGLENN , PEMEGLENN, NOT FOUND, F AMP LIO IV 100 MG 15 ML x 1, GMK
95127, PEMEGLENN , PEMEGLENN, NOT FOUND, F AMP LIO IV 500 MG 30 ML x 1, GMK
74450, POSPRAND , POSPRAND, NOT FOUND, CPR 0.50 MG x 30, GMK
74451, POSPRAND , POSPRAND, NOT FOUND, CPR 1 MG x 30, GMK
74452, POSPRAND , POSPRAND, NOT FOUND, CPR 1 MG x 60, GMK
74453, POSPRAND , POSPRAND, NOT FOUND, CPR 2 MG x 30, GMK
74454, POSPRAND , POSPRAND, NOT FOUND, CPR 2 MG x 60, GMK
