525011801163110; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; MD7
525011802161111; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 50 G; MD7
525063604113113; SIMETICONA; SIMETICONA; SIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; MD7
525063601114119; SIMETICONA; SIMETICONA; SIMETICONA; 125MG CAP GEL MOLE CT 9 BL PLAS INC X 10; MD7
525005201133119; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; MD7
525063606116111; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); MD7
525063607112118; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; MD7
525011301160414; SARCOTON; SARCOTON; NOT FOUND; 0.04 G/G PO OR CT PT X 10 G; MD7
525011201174413; SALDER S; SALDER S; NOT FOUND; 0.03 G/G + 0.1 G/G SAB CT 1 UND X 80 G; MD7
525012101130110; SULFATO DE TERBUTALINA + GUAIFESINA; SULFATO TERBUTALINA GUAIFESINA; NOT FOUND; 0.3 MG/ML + 13.3 MG/ML XPE CT FR VD AMB X 100 ML +; MD7
525011401114112; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 1000 MG COM REV CT BL AL PLAS INC X 2; MD7
525011402110110; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 1000 MG COM REV CT BL AL PLAS INC X 4; MD7
525011703110111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; MD7
525011707116112; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT 3 BL AL PLAS INC X 10; MD7
525011708112110; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); MD7
525011712111115; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT  BL AL PLAS INC X 10    ; MD7
525011711113114; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT 3 BL AL PLAS INC X 10; MD7
525011715119117; SINVASTATINA; SINVASTATINA; SINVASTATINA; 5 MG COM REV CT 3 BL AL PLAS INC X 10  ; MD7
525011717111113; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REVEST CT 1 BL AL PLAS INC X 10; MD7
525012001136117; SULFATO DE TERBUTALINA; SULFATO TERBUTALINA; SULFATO TERBUTALINA; 0.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; MD7
525011502166411; SECZOL; SECZOL; NOT FOUND; 30 MG + 20 MG CREM VAG CT BG AL X 35 G + 7 APLIC; MD7
