525012601117415; TRISEQUENS; TRISEQUENS; NOT FOUND; 2 MG COMP REV AZUL + 2 MG/1 MG COMP REV BCO + 1 MG COMP REV VERM CT EST CALEND X 12 + 10 + 6; MD7
525012201161115; TETRACICLINA + ANFOTERICINA B; TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 45 G + 10 APLIC; MD7
525072101161419; TRIDERM; TRIDERM; NOT FOUND; 0.1 MG/G + 40 MG/G +0.5 MG/G CREM DERM CT BG AL X 15 G; MD7
525069101164116; TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G; MD7
525069102160114; TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG/G + 2.5 MG/G + 0.25MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G; MD7
525012301164116; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; CREME VAG 1 BG AL X 40G+ 7 APL; MD7
525014110105706; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS TRANS X 7 ; MD7
525014110105806; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS TRANS X 14; MD7
525014110105906; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS TRANS X 15; MD7
525014110106006; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS TRANS X 28; MD7
525014110106106; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS TRANS X 30; MD7
525014110106206; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS TRANS X 1 ; MD7
525014110106306; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS TRANS X 2; MD7
525014110106406; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS TRANS X 4; MD7
525014110106506; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS TRANS X 8; MD7
525014110106606; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS TRANS X 12; MD7
525074701174119; TARTARATO DE BRIMONIDINA; TARTARATO BRIMONIDINA; NOT FOUND; 2 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; MD7
525067401111119; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS INC X 4 ; MD7
525067402116114; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS INC X 8; MD7
525012501163113; TIOCONAZOL+TINIDAZOL; TIOCONAZOL TINIDAZOL; NOT FOUND; 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC; MD7
525012402173110; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 10 MG/G LOC CT FR PLAS OPC GOT X 30 G; MD7
525012401169111; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 10 MG/G CREM DERM CT BG AL X 30 G; MD7
525013060102703; TOPIT; TOPIT; NOT FOUND; 100 MG COM REV CT BL AL/AL X 30; MD7
525013010102006; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 60; MD7
525013060102803; TOPIT; TOPIT; NOT FOUND; 100 MG COM REV CT BL AL/AL X 60; MD7
525013060102303; TOPIT; TOPIT; NOT FOUND; 25 MG COM REV CT BL AL/AL X 30; MD7
525013010101806; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60; MD7
525013060102403; TOPIT; TOPIT; NOT FOUND; 25 MG COM REV CT BL AL/AL X 60; MD7
525013060102503; TOPIT; TOPIT; NOT FOUND; 50 MG COM REV CT BL AL/AL X 30; MD7
525013010101906; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM  REV CT BL AL/AL X 60; MD7
525013060102603; TOPIT; TOPIT; NOT FOUND; 50 MG COM REV CT BL AL/AL X 60; MD7
525014070104703; TEGASER; TEGASER; NOT FOUND; 0.04 MG/ML SOL OFT CT ENV AL FR PLAS TRANS GOT X 2.5 ML.; MD7
525013090103106; TRAVOPROSTA; TRAVOPROSTA; TRAVOPROSTA; 0.04 MG/ML SOL OFT CT ENV  AL FR PLAS TRANS GOT X 2.5 ML; MD7
