520905201155317, RHEO EM CLORETO, RHEO EM CLORETO, NOT FOUND, AMP 500 ML, BME
520905301151313, RHEO EM GLICOSE, RHEO EM GLICOSE, NOT FOUND, AMP 500 ML, BME
520905402150312, RINGER 3, RINGER 3, NOT FOUND, 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 20 ECOFLAC PLUS X 500ML, BME
520905501159318, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ CX/10 AMP PLAS X 1000 ML, BME
520905504158312, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520905506150319, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520905505154310, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905201155317, RHEO EM CLORETO, RHEO EM CLORETO, NOT FOUND, AMP 500 ML, BME
520905301151313, RHEO EM GLICOSE, RHEO EM GLICOSE, NOT FOUND, AMP 500 ML, BME
520905402150312, RINGER 3, RINGER 3, NOT FOUND, 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 20 ECOFLAC PLUS X 500ML, BME
520905501159318, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ CX/10 AMP PLAS X 1000 ML, BME
520905504158312, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520905506150319, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520905505154310, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905201155317, RHEO EM CLORETO, RHEO EM CLORETO, NOT FOUND, AMP 500 ML, BME
520905301151313, RHEO EM GLICOSE, RHEO EM GLICOSE, NOT FOUND, AMP 500 ML, BME
520905402150312, RINGER 3, RINGER 3, NOT FOUND, 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 20 ECOFLAC PLUS X 500ML, BME
520905501159318, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ CX/10 AMP PLAS X 1000 ML, BME
520905504158312, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520905506150319, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520905505154310, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905201155317, RHEO EM CLORETO, RHEO EM CLORETO, NOT FOUND, AMP 500 ML, BME
520905301151313, RHEO EM GLICOSE, RHEO EM GLICOSE, NOT FOUND, AMP 500 ML, BME
520905402150312, RINGER 3, RINGER 3, NOT FOUND, 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 20 ECOFLAC PLUS X 500ML, BME
520905501159318, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ CX/10 AMP PLAS X 1000 ML, BME
520905504158312, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520905506150319, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520905505154310, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905201155317, RHEO EM CLORETO, RHEO EM CLORETO, NOT FOUND, AMP 500 ML, BME
520905301151313, RHEO EM GLICOSE, RHEO EM GLICOSE, NOT FOUND, AMP 500 ML, BME
520905402150312, RINGER 3, RINGER 3, NOT FOUND, 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 20 ECOFLAC PLUS X 500ML, BME
520905501159318, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ CX/10 AMP PLAS X 1000 ML, BME
520905504158312, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520905506150319, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520905505154310, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905201155317, RHEO EM CLORETO, RHEO EM CLORETO, NOT FOUND, AMP 500 ML, BME
520905301151313, RHEO EM GLICOSE, RHEO EM GLICOSE, NOT FOUND, AMP 500 ML, BME
520905402150312, RINGER 3, RINGER 3, NOT FOUND, 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 20 ECOFLAC PLUS X 500ML, BME
520905501159318, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ CX/10 AMP PLAS X 1000 ML, BME
520905504158312, RINGER LACTATO, RINGER LACTATO, NOT FOUND, SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
