60387, CAPTOCORD , CAPTOCORD, NOT FOUND, CPR 12.5 MG x 15, GLO
60388, CAPTOCORD , CAPTOCORD, NOT FOUND, CPR 12.5 MG x 30, GLO
60389, CAPTOCORD , CAPTOCORD, NOT FOUND, CPR 25 MG x 15, GLO
60390, CAPTOCORD , CAPTOCORD, NOT FOUND, CPR 25 MG x 30, GLO
71546, CAPTOCORD , CAPTOCORD, NOT FOUND, CPR 25 MG x 60, GLO
60391, CAPTOCORD , CAPTOCORD, NOT FOUND, CPR 50 MG x 15, GLO
60392, CAPTOCORD , CAPTOCORD, NOT FOUND, CPR 50 MG x 30, GLO
87801, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, CREME 30 G x 1, GLO
77152, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, SHAMPOO 20 MG 100 ML x 1 (/ML), GLO
55972, CETOMICOSS , CETOMICOSS, NOT FOUND, CPR 200 MG x 10, GLO
60393, CETOMICOSS , CETOMICOSS, NOT FOUND, CPR 200 MG x 30, GLO
60394, CETOMICOSS , CETOMICOSS, NOT FOUND, CREME 20 MG 20 G x 1 (/G), GLO
76641, CICLOPIROX OLAM.MG , CICLOPIROX OLAM, CICLOPIROX OLAMINA, CREME 10 MG 20 G x 1 (/G), GLO
65022, CINAFAR , CINAFAR, NOT FOUND, CPR 25 MG x 30, GLO
65023, CINAFAR , CINAFAR, NOT FOUND, CPR 75 MG x 30, GLO
61686, CIPROFLOXATRIN , CIPROFLOXATRIN, NOT FOUND, CPR REVEST 500 MG x 14, GLO
61687, CIPROFLOXATRIN , CIPROFLOXATRIN, NOT FOUND, CPR REVEST 500 MG x 6, GLO
78634, CLO DOXICICLINA MG , CLO DOXICICLINA, CLORIDRATO DOXICICLINA, CPR REVEST 100 MG x 15, GLO
85474, CLO HIDROXIZINA MG , CLO HIDROXIZINA, NOT FOUND, SOLN ORAL 10 MG 100 ML x 1 (/ML, GLO
78635, CLOR LOPERAMIDA MG , CLOR LOPERAMIDA, CLORIDRATO LOPERAMIDA, CPR 2 MG x 12, GLO
78636, CLOR LOPERAMIDA MG , CLOR LOPERAMIDA, CLORIDRATO LOPERAMIDA, CPR 2 MG x 200, GLO
74438, CLOR. BROMEXINA MG , CLOR BROMEXINA, CLORIDRATO BROMEXINA, XAR. AD 8 MG 120 ML x 1 (/5ML), GLO
74439, CLOR. BROMEXINA MG , CLOR BROMEXINA, CLORIDRATO BROMEXINA, XAR. INF 4 MG 120 ML x 1 (/5ML), GLO
73880, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, GLO
73881, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 6, GLO
76016, CLOR.NAFAZOLINA MG , CLOR NAFAZOLINA, CLORIDRATO NAFAZOLINA, SOLN NASAL 0.50 MG 30 ML x 1 (, GLO
47526, COMPLEXIMED B , COMPLEXIMED B, NOT FOUND, DRAG x 20, GLO
60233, COMPLEXIMED B , COMPLEXIMED B, NOT FOUND, XAR. 100 ML x 1, GLO
