65140; SCAFLOGIN ; SCAFLOGIN; NOT FOUND; CPR 100 MG x 12; GLO
65141; SCAFLOGIN ; SCAFLOGIN; NOT FOUND; GOTAS 50 MG 15 ML x 1 (/ML); GLO
65143; SECNIMAX ; SECNIMAX; NOT FOUND; CPR 1000 MG x 2; GLO
65144; SECNIMAX ; SECNIMAX; NOT FOUND; CPR 1000 MG x 4; GLO
65142; SECNIMAX ; SECNIMAX; NOT FOUND; CPR 500 MG x 4; GLO
71588; SINTAFLAT ; SINTAFLAT; NOT FOUND; CPR 40 MG x 20; GLO
66038; SINTAFLAT ; SINTAFLAT; NOT FOUND; GOTAS 75 MG 15 ML x 1 (/ML); GLO
69709; SINVASMAX ; SINVASMAX; NOT FOUND; CPR REVEST 10 MG x 30; GLO
69710; SINVASMAX ; SINVASMAX; NOT FOUND; CPR REVEST 20 MG x 30; GLO
70447; SINVASMAX ; SINVASMAX; NOT FOUND; CPR REVEST 40 MG x 30; GLO
72897; SINVASMAX ; SINVASMAX; NOT FOUND; CPR REVEST 80 MG x 30; GLO
66041; SPECTOFLUX ; SPECTOFLUX; NOT FOUND; XAR. AD 30 MG 120 ML x 1 (/5ML); GLO
66040; SPECTOFLUX ; SPECTOFLUX; NOT FOUND; XAR. INF 15 MG 120 ML x 1 (/5ML); GLO
