29316; CICLOPRIMOGYNA ; CICLOPRIMOGYNA; NOT FOUND; DRAG 2 MG x 21; BYP
48168; CIPRO ; CIPRO; NOT FOUND; CPR REVEST 250 MG x 14; BYP
48167; CIPRO ; CIPRO; NOT FOUND; CPR REVEST 250 MG x 6; BYP
48170; CIPRO ; CIPRO; NOT FOUND; CPR REVEST 500 MG x 14; BYP
54648; CIPRO ; CIPRO; NOT FOUND; CPR REVEST 500 MG x 50; BYP
48169; CIPRO ; CIPRO; NOT FOUND; CPR REVEST 500 MG x 6; BYP
47435; CIPRO ; CIPRO; NOT FOUND; INFUSAO I.V 200 MG 100 ML x 1; BYP
51923; CIPRO ; CIPRO; NOT FOUND; INFUSAO I.V 400 MG 200 ML x 1; BYP
74900; CIPRO ; CIPRO; NOT FOUND; S INJ IV FB 200 MG 100 ML x 1; BYP
74899; CIPRO ; CIPRO; NOT FOUND; S INJ IV FB 400 MG 200 ML x 1; BYP
77268; CIPRO XR ; CIPRO XR; NOT FOUND; CPR REVEST 1000 MG x 3; BYP
64567; CIPRO XR ; CIPRO XR; NOT FOUND; CPR REVEST 1000 MG x 7; BYP
64566; CIPRO XR ; CIPRO XR; NOT FOUND; CPR REVEST 500 MG x 3; BYP
71738; CIPRO XR ; CIPRO XR; NOT FOUND; CPR REVEST 500 MG x 7; BYP
51541; CLIANE ; CLIANE; NOT FOUND; CPR REVEST x 28; BYP
50230; CLIMENE ; CLIMENE; NOT FOUND; DRAG x 21; BYP
