529901504114117; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; RBY
529901502111110; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 20; RBY
529901503118119; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); RBY
529901501115112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 8; RBY
529902001116118; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT STR X 10; RBY
529912060039706; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT STR X 20; RBY
529902002112116; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT STR X 30; RBY
529912060039606; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT STR X 60; RBY
529913601160113; CETOCONAZOL+DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL REV X 30 G ; RBY
529913602167111; CETOCONAZOL+DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL REV X 30G ; RBY
529913502162118; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.50 MG/G + 2.5 MG/G POM DERM CT BG AL REV X 30 G ; RBY
529913501166111; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL REV X 30 G; RBY
529912302119113; CINARIZINA; CINARIZINA; CINARIZINA; 25 MG COM CT 3 BL AL PLAS INC X 10 ; RBY
529912301112115; CINARIZINA; CINARIZINA; CINARIZINA; 75 MG COM CT 3 BL AL PLAS INC X 10 ; RBY
529902101110111; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 14; RBY
529902102117111; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 28; RBY
529914001116111; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; RBY
529914101110115; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 0.5 MG COM CT BL AL PLAS INC X 20 ; RBY
529914102117113; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 0.5 MG COM CT BL AL PLAS INC X 30; RBY
529914103113111; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS INC X 20; RBY
529914104111112; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS INC X 30 ; RBY
529912060039206; CLORIDRATO DE AMIODARONA; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 100 MG COM CT BL AL PLAS INC X 20; RBY
529914030047606; CLORIDRATO DE AMIODARONA; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 100 MG COM CT BL AL PLAS INC X 30; RBY
529912060039306; CLORIDRATO DE AMIODARONA; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 200 MG COM CT BL AL PLAS INC X 20; RBY
