1014701530011; FRESH TEARS; FRESH TEARS; NOT FOUND; 5 MG/ML SOL OCU CT FR PLAS GOT X 15 ML; ALL
1014701530044; FRESH TEARS LIQUIGEL; FRESH TEARS LIQUIGEL; NOT FOUND; 10 MG/ML SOL OCU CT FR PLAS GOT X 15 ML; ALL
1014701530060; FRESH TEARS; FRESH TEARS; NOT FOUND; 5 MG/ML SOL OCU CT FR PLAS GOT X 10 ML ; ALL
1014701530028; FRESH TEARS; FRESH TEARS; NOT FOUND; 5 MG/ML SOL OCU CT FR PLAS GOT X 5 ML; ALL
1589652358745; FRESH TEARS LIQUIGEL; FRESH TEARS LIQUIGEL; NOT FOUND; CONTROLE; ALL
1014700610011; FENIDEX; FENIDEX; NOT FOUND; 0.05 MG+5 MG+0.25 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; ALL
1014701740022; FRESH CLEAR; FRESH CLEAR; NOT FOUND; 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 10.0ML; ALL
1014701740030; FRESH CLEAR; FRESH CLEAR; NOT FOUND; 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 15.0ML; ALL
1014701740014; FRESH CLEAR; FRESH CLEAR; NOT FOUND; 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0ML; ALL
1014700810019; FLUO-VASO; FLUO VASO; NOT FOUND; 0.25MG/ML + 0.5MG/ML + 4.0MG/ML + 7.0MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; ALL
1014700130018; FLUMEX; FLUMEX; NOT FOUND; 1 MG/ML SUS OFTALMICA FR PLAS GOTEJ OPC X 10 ML; ALL
1014700130030; FLUMEX; FLUMEX; NOT FOUND; 2.5 MG/ML SUS OFTALMICA CT FR PLAS OPC GOT X 5 ML; ALL
1014700140026; FLUMEX-N; FLUMEX N; NOT FOUND; FR PLASTICO - GTS - 10ML; ALL
1014700590019; FILMCEL; FILMCEL; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML; ALL
