511000209152417, DOTAREM, DOTAREM, NOT FOUND, 0.5 MMOL/ML SOL INJ CT FA VD INC X 60 ML, GUE
511000206153412, DOTAREM, DOTAREM, NOT FOUND, CART C/ 1 FA DE 20 ML, GUE
511000202158411, DOTAREM, DOTAREM, NOT FOUND, CART.C/ 1 FA DE 15 ML, GUE
511000201151411, DOTAREM, DOTAREM, NOT FOUND, CART.C/ 1 FR DE 10 ML, GUE
511000203154418, DOTAREM, DOTAREM, NOT FOUND, CX. MULT. C/ 25 FA DE 10 ML, GUE
511000204150416, DOTAREM, DOTAREM, NOT FOUND, CX. MULT. C/ 25 FA DE 15 ML, GUE
511000209152417, DOTAREM, DOTAREM, NOT FOUND, 0.5 MMOL/ML SOL INJ CT FA VD INC X 60 ML, GUE
511000206153412, DOTAREM, DOTAREM, NOT FOUND, CART C/ 1 FA DE 20 ML, GUE
511000202158411, DOTAREM, DOTAREM, NOT FOUND, CART.C/ 1 FA DE 15 ML, GUE
511000201151411, DOTAREM, DOTAREM, NOT FOUND, CART.C/ 1 FR DE 10 ML, GUE
511000203154418, DOTAREM, DOTAREM, NOT FOUND, CX. MULT. C/ 25 FA DE 10 ML, GUE
511000204150416, DOTAREM, DOTAREM, NOT FOUND, CX. MULT. C/ 25 FA DE 15 ML, GUE
511000209152417, DOTAREM, DOTAREM, NOT FOUND, 0.5 MMOL/ML SOL INJ CT FA VD INC X 60 ML, GUE
511000206153412, DOTAREM, DOTAREM, NOT FOUND, CART C/ 1 FA DE 20 ML, GUE
511000202158411, DOTAREM, DOTAREM, NOT FOUND, CART.C/ 1 FA DE 15 ML, GUE
511000201151411, DOTAREM, DOTAREM, NOT FOUND, CART.C/ 1 FR DE 10 ML, GUE
511000203154418, DOTAREM, DOTAREM, NOT FOUND, CX. MULT. C/ 25 FA DE 10 ML, GUE
511000204150416, DOTAREM, DOTAREM, NOT FOUND, CX. MULT. C/ 25 FA DE 15 ML, GUE
511000209152417, DOTAREM, DOTAREM, NOT FOUND, 0.5 MMOL/ML SOL INJ CT FA VD INC X 60 ML, GUE
