511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 1 AMP DE 10 ML, GUE
511000502151410, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 10 AMPOLAS DE 5 ML, GUE
511000503158419, LIPIODOL UF, LIPIODOL UF, NOT FOUND, CART. C/ 2 AMP DE 5 ML, GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, 480 MG/ML SOL INJ CT AMP VD INC X 10 ML (USO PROFISSIONAL), GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
511000501155412, LIPIODOL UF, LIPIODOL UF, NOT FOUND, 480 MG/ML SOL INJ CT AMP VD INC X 10 ML (USO PROFISSIONAL), GUE
511001201112414, LUMIREM, LUMIREM, NOT FOUND, 0.175 MG/ML SUS OR RET CT 3 FR PLAS OPC X 300 ML, GUE
