75040, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, BF8

62757, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, BF8

64431, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, BF8

64430, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, BF8

62759, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAR. 2 MG 120 ML x 1 (/5ML), BF8

64432, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, BF8

69183, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, BF8

76669, MUSCUPRINA , MUSCUPRINA, NOT FOUND, CPR REVEST 10 MG x 30, E3S

66547, MAL.DEX+PSE+GUA.MG , MAL DEX PSE GUA, NOT FOUND, SOLN ORAL 120 ML x 1, E3S

69184, MALENA HCT , MALENA HCT, NOT FOUND, CPR 25 MG x 30 (/10), E3S

58874, METILPRESS , METILPRESS, NOT FOUND, CPR F.C 500 MG x 30, E3S

66548, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, CPR 0.25 MG x 20 (/2), E3S

59012, MELOTEC , MELOTEC, NOT FOUND, CPR 15 MG x 10, E3S

71928, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 60, E3S

73393, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CREME 10 MG 30 G x 1 (/G), E3S

69185, MALENA HCT , MALENA HCT, NOT FOUND, CPR 12.5 MG x 30 (/20), E3S

58027, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, CPR 250 MG x 20, E3S

49163, MUCOTOSS , MUCOTOSS, NOT FOUND, XAR. AD 50 MG 100 ML x 1 (/ML), E3S

70483, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 60, E3S

68110, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, E3S

57140, MIGRALIV , MIGRALIV, NOT FOUND, CPR x 12, E3S

69748, MICROPIL , MICROPIL, NOT FOUND, CPR 30 MG x 21 (/75), E3S

57136, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, E3S

70873, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 250 MG x 90, E3S

58429, MINIPIL , MINIPIL, NOT FOUND, DRAG 30 Y x 35, E3S

28412, MESMERIN , MESMERIN, NOT FOUND, CPR 2 MG x 20, E3S

70867, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 90 (/10), E3S

76668, MUSCUPRINA , MUSCUPRINA, NOT FOUND, CPR REVEST 10 MG x 15, E3S

63783, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), E3S

68108, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 5 MG 5 ML x 1 (/ML), E3S

56743, MICROPIL , MICROPIL, NOT FOUND, CPR 20 MG x 21 (/75), E3S

73840, MALENA , MALENA, NOT FOUND, CPR 5 MG x 30, E3S

48475, MIGRANE , MIGRANE, NOT FOUND, CPR x 20, E3S

68113, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 2.50 MG 5 ML x 1 (/ML), E3S

61827, MUSCORIL , MUSCORIL, NOT FOUND, CREME 0.25 % 30 G x 1, E3S

73842, MALENA , MALENA, NOT FOUND, CPR 20 MG x 30, E3S

57761, MEBENDAZOL SUSP MG , MEBENDAZOL SUSP, NOT FOUND, SUSP 20 MG 30 ML x 1 (/ML), E3S

57138, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, E3S

62816, MUSCORIL , MUSCORIL, NOT FOUND, AMP. 2 MG 2 ML x 3, E3S

59909, MICROPIL R28 , MICROPIL R28, NOT FOUND, DRAG x 28, E3S

70868, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 90 (/20), E3S

62817, MUSCORIL , MUSCORIL, NOT FOUND, CPR 4 MG x 12, E3S

61438, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, E3S

65164, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, E3S

70613, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 60, E3S

57137, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, E3S

71275, MALENA HCT , MALENA HCT, NOT FOUND, CPR 25 MG x 70 (/10), E3S

58750, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, E3S

73841, MALENA , MALENA, NOT FOUND, CPR 10 MG x 30, E3S

59503, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, E3S

28411, MESMERIN , MESMERIN, NOT FOUND, CPR 1 MG x 20, E3S

74587, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, GOTAS 2.80 MG 20 ML x 1 (/ML), E3S

61440, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 250 MG x 30, E3S

61441, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 500 MG x 30, E3S

61439, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 0.40 MG 120 ML x 1 (/ML), E3S

68109, MESALAZINA MG , MESALAZINA, MESALAZINA, ENEMA 3 G 100 ML x 1, E3S

58028, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, CPR 400 MG x 24, E3S

49162, MUCOTOSS , MUCOTOSS, NOT FOUND, XAR. INF 20 MG 100 ML x 1 (/ML), E3S

63618, MALU , MALU, NOT FOUND, CPR x 21, E3S

55235, MELOTEC , MELOTEC, NOT FOUND, CPR 7.50 MG x 10, E3S

68975, MESALAZINA MG , MESALAZINA, MESALAZINA, CPR REVEST 800 MG x 30, E3S

71929, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 60, E3S

70776, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 500 MG x 90, E3S

62956, MINIPIL 2 POST , MINIPIL 2 POST, NOT FOUND, CPR 0.75 MG x 2, E3S

66398, MEBENDA+TIABEND.MG , MEBENDA TIABEND, NOT FOUND, CPR MASC 200 MG x 6 (/332), E3S

65163, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), E3S

61506, METILPRESS , METILPRESS, NOT FOUND, CPR F.C 250 MG x 30, E3S

56612, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL. VAG. 100 MG 50 G x 1, E3S

66181, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, E3S

73523, MICOF.MOFETILA MG , MICOF MOFETILA, MICOFENOLATO MOFETILA, CPR REVEST 500 MG x 50, E3S

77345, MUPIROX , MUPIROX, NOT FOUND, SOLN TOP. 10 MG 15 ML x 1 (/ML), E3S

53508, MAGNOPYROL , MAGNOPYROL, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), FAS

54691, MAGNOPYROL , MAGNOPYROL, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), FAS

6948, M.M. EXPECTORANTE , M M EXPECTORANTE, NOT FOUND, XAROPE 120 ML x 1, FAS

60705, MAGNOPYROL , MAGNOPYROL, NOT FOUND, SOL ORAL CHO 100 ML x 1, FAS

30330, METIOCOLIN CPTO , METIOCOLIN CPTO, NOT FOUND, AMP.OR 10 ML x 12, FAS

32546, MAGNOPYROL , MAGNOPYROL, NOT FOUND, SUP. 300 MG x 5, FAS

6927, MIOFLEX , MIOFLEX, NOT FOUND, CPR x 16, FAS

6503, MAGNOPYROL , MAGNOPYROL, NOT FOUND, CPR 500 MG x 200, FAS

30619, METIOCOLIN CPTO , METIOCOLIN CPTO, NOT FOUND, AMP.OR 10 ML x 100, FAS

69860, MAXSULID , MAXSULID, NOT FOUND, CPR 400 MG x 10, FAS

64797, MIOFLEX-A , MIOFLEX A, NOT FOUND, CPR x 12, FAS

