514503201113318; PARALON; PARALON; NOT FOUND; 300 MG + 200 MG COM CT 2 BL AL PLAS INC X 6; J_C
514508102113310; PRILIGY; PRILIGY; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 3; J_C
514508103111311; PRILIGY; PRILIGY; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 6; J_C
514508101117312; PRILIGY; PRILIGY; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 3; J_C
514508104116317; PRILIGY; PRILIGY; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 6; J_C
514506703111316; PREZISTA; PREZISTA; NOT FOUND; 150 MG COM REV CT FR PLAS OPC X 240; J_C
514506701117317; PREZISTA; PREZISTA; NOT FOUND; 300 MG COM REV CT FR PLAS OPC X 120; J_C
514513020026403; PREZISTA; PREZISTA; NOT FOUND; 600 MG COM REV CT FR PLAS OPC X 60 (BRANCO); J_C
514506702113315; PREZISTA; PREZISTA; NOT FOUND; 75 MG COM REV CT FR PLAS OPC X 480; J_C
514503102131318; PANTELMIN; PANTELMIN; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; J_C
514503103111310; PANTELMIN; PANTELMIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 1; J_C
514503301118214; PARIET; PARIET; NOT FOUND; 10 MG COM REV CT BOLS AL BL AL PLAS INC X 14; J_C
514512110025703; PARIET; PARIET; NOT FOUND; 10 MG COM REV CT BOLS AL BL AL PLAS INC X 5; J_C
514503304117219; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; J_C
514503306111218; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; J_C
514512110026003; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BL AL/AL X 42; J_C
514512110026103; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BOLS AL BL AL PLAS INC X 42; J_C
514512110025803; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BOLS AL BL AL PLAS INC X 5; J_C
514512110025903; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BL AL/AL X 5; J_C
514512110026203; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BOLS AL BL AL PLAS INC X 56; J_C
514512110026303; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BL AL/AL X 56; J_C
514503305113217; PARIET; PARIET; NOT FOUND; 20 MG COM REV CT BOLS AL BL AL PLAS INC X 7; J_C
514507201118312; PROGRAF XL; PROGRAF XL; NOT FOUND; 0.5 MG CAP GEL DURA LIB PROL CT 1 BOLS ALU 5 BL PLAS INC X 10; J_C
514503601111312; PROGRAF; PROGRAF; NOT FOUND; 1 MG CAP GEL DURA CT 10 BL AL PLAS INC X 10; J_C
514507202114310; PROGRAF XL; PROGRAF XL; NOT FOUND; 1.0 MG CAP GEL DURA LIB PROL CT 1 BOLS ALU 5 BL PLAS INC X 10; J_C
514503602118310; PROGRAF; PROGRAF; NOT FOUND; 5 MG CAP GEL DURA CT 5 BL AL PLAS INC X 10; J_C
514507203110319; PROGRAF XL; PROGRAF XL; NOT FOUND; 5.0 MG CAP GEL DURA LIB PROL CT 1 BOLS ALU 5 BL PLAS INC X 10; J_C
514503603157311; PROGRAF; PROGRAF; NOT FOUND; 5 MG/ML SOL INJ CT 10 AMP VD INC X 1 ML; J_C
