514503702155315, RAPIFEN, RAPIFEN, NOT FOUND, 544 MCG/ML SOL INJ IV CX 5 AMP VD INC X 5 ML, J_C
514506002111311, REMINYL ER, REMINYL ER, NOT FOUND, 16 MG CAP CT BL AL PLAS INC X 28, J_C
514506003118318, REMINYL ER, REMINYL ER, NOT FOUND, 24 MG CAP CT BL AL PLAS INC X 28, J_C
514506001115311, REMINYL ER, REMINYL ER, NOT FOUND, 8 MG CAP CT BL AL PLAS INC X 7, J_C
514512080025214, REMICADE, REMICADE, NOT FOUND, 10 MG/ML PO LIOF CT FA VD INC X 10 ML, J_C
514512090025302, RESOLOR, RESOLOR, NOT FOUND, 1 MG COM REV CT BL AL AL X 14 , J_C
514512090025402, RESOLOR, RESOLOR, NOT FOUND, 1 MG COM REV CT BL AL AL X 28, J_C
514512090025502, RESOLOR, RESOLOR, NOT FOUND, 2 MG COM REV CT BL AL AL X 14 , J_C
514512090025602, RESOLOR, RESOLOR, NOT FOUND, 2 MG COM REV CT BL AL AL X 28, J_C
514504201117311, RISPERDAL, RISPERDAL, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 20, J_C
514504203136313, RISPERDAL, RISPERDAL, NOT FOUND, 1 MG/ML SOL ORAL CT FR VD AMB X 30 ML, J_C
514504204116316, RISPERDAL, RISPERDAL, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 20, J_C
514504206151313, RISPERDAL, RISPERDAL, NOT FOUND, 25 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 3 AGU , J_C
514507101156311, RISPERDAL CONSTA, RISPERDAL CONSTA, NOT FOUND, 25 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 1 AGULHA + 1 DISPOSITIVO, J_C
514507104155314, RISPERDAL CONSTA, RISPERDAL CONSTA, NOT FOUND, 25 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 2 AGU + 1 DISPOSITIVO , J_C
514505701113313, RISPERDAL, RISPERDAL, NOT FOUND, 250 MCG COM REV CT BL AL PLAS INC X 10, J_C
514504205112314, RISPERDAL, RISPERDAL, NOT FOUND, 3 MG COM REV CT BL AL PLAS INC X 20, J_C
514504207158311, RISPERDAL, RISPERDAL, NOT FOUND, 37.5 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 3 AGU, J_C
514507102152318, RISPERDAL CONSTA, RISPERDAL CONSTA, NOT FOUND, 37.5 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 1 AGULHA + 1 DISPOSITIVO, J_C
514507105151312, RISPERDAL CONSTA, RISPERDAL CONSTA, NOT FOUND, 37.5 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 2 AGU + 1 DISPOSITIVO , J_C
514507001151316, RIPERDAL CONSTA, RIPERDAL CONSTA, NOT FOUND, 50 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 3 AGU, J_C
514507103159316, RISPERDAL CONSTA, RISPERDAL CONSTA, NOT FOUND, 50 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 1 AGULHA + 1 DISPOSITIVO, J_C
514507106158310, RISPERDAL CONSTA, RISPERDAL CONSTA, NOT FOUND, 50 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 2 AGU + 1 DISPOSITIVO , J_C
514505801118317, RISPERDAL, RISPERDAL, NOT FOUND, 500 MCG COM REV CT BL AL PLAS INC X 10, J_C
