55432; DERMAX ; DERMAX; NOT FOUND; SABAO 110 G x 1; GLD
160367; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; ESP OR FO BR 130 ML x 1; GLD
77328; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; ESP SOF FOAM 130 ML x 1; GLD
115838; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; K S L OR+NEC 300 ML x 1; GLD
120311; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; KSFL50ML+NEC 50 ML x 1; GLD
103547; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; LENCOS CONTR x 25; GLD
77876; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; S L CONTROL 120 ML x 1; GLD
77877; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; S L F CONTRO 130 ML x 1; GLD
76653; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; S L FLIP TOP 120 ML x 1; GLD
73149; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; S L FLIP TOP 150 ML x 1; GLD
74509; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; S L FOAM P/O 100 ML x 1; GLD
76122; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; S L FOAM P/O 130 ML x 1; GLD
75236; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; S L FOAM P/O 50 ML x 1; GLD
73150; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; S L PUMP 150 ML x 1; GLD
84702; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB CR SCRUB 60 G x 1; GLD
101289; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB CR SCRUB 90 G x 1; GLD
150171; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB LIQ CONT 70 ML x 1; GLD
150170; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB LIQ ORIG 70 ML x 1; GLD
75123; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB LIQ PUMP 300 ML x 1; GLD
78072; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB LIQ SOFT 120 ML x 1; GLD
150172; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB LIQ SOFT 70 ML x 1; GLD
84701; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB SOFT 90 G x 1; GLD
85422; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SAB.CONTROL 90 G x 1; GLD
51750; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SABAO 80 G x 1; GLD
83734; DERMOTIVIN ; DERMOTIVIN; NOT FOUND; SABAO ORIG 90 G x 1; GLD
82761; DERMOTIVIN SALIX ; DERMOTIVIN SALIX; NOT FOUND; SAB FOAM 130 ML x 1; GLD
108189; DERMOTIVIN SALIX ; DERMOTIVIN SALIX; NOT FOUND; SAB LIQ 300 ML x 1; GLD
150173; DERMOTIVIN SALIX ; DERMOTIVIN SALIX; NOT FOUND; SAB LIQ 70 ML x 1; GLD
80309; DERMOTIVIN SALIX ; DERMOTIVIN SALIX; NOT FOUND; SABAO 90 G x 1; GLD
56703; DESOWEN ; DESOWEN; NOT FOUND; CREME 0.05 % 30 G x 1; GLD
55615; DIFFERIN ; DIFFERIN; NOT FOUND; CREME 0.10 % 30 G x 1; GLD
52272; DIFFERIN ; DIFFERIN; NOT FOUND; GEL. 0.10 % 30 G x 1; GLD
75639; DIFFERIN ; DIFFERIN; NOT FOUND; GEL. 0.30 % 30 G x 1; GLD
78975; DIFFERIN ; DIFFERIN; NOT FOUND; GEL. 0.30 % 45 G x 1; GLD
105742; DYSPORT ; DYSPORT; NOT FOUND; F.AMP LIOF 300 IU x 1; GLD
57256; DYSPORT ; DYSPORT; NOT FOUND; F.AMP LIOF 500 IU x 1; GLD
