61777; FELDRAN ; FELDRAN; NOT FOUND; CAPS 10 MG x 15; VAP
61778; FELDRAN ; FELDRAN; NOT FOUND; CAPS 20 MG x 15; VAP
61779; FELDRAN ; FELDRAN; NOT FOUND; GOTAS 10 MG 15 ML x 1 (/ML); VAP
57717; FLAMALGEN ; FLAMALGEN; NOT FOUND; CPR 50 MG x 20; VAP
75750; FLAMATRAT ; FLAMATRAT; NOT FOUND; CPR REVEST P 50 MG x 20; VAP
57722; FLAMATRAT ; FLAMATRAT; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); VAP
73967; FLAMATRAT ; FLAMATRAT; NOT FOUND; GOTAS 15 MG 20 ML x 50 (/ML); VAP
66566; FLUCONID ; FLUCONID; NOT FOUND; CAPS 150 MG x 1; VAP
112082; FLUCONID ; FLUCONID; NOT FOUND; CAPS 150 MG x 2; VAP
136015; FLUCONID ; FLUCONID; NOT FOUND; CAPS 150 MG x 500; VAP
57820; FUNGITRIN ; FUNGITRIN; NOT FOUND; CR.VAG.10APL 45 G x 1; VAP
