73929; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; VAP
73930; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; VAP
67349; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 510; VAP
67350; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 510; VAP
57689; CAPTOZEN ; CAPTOZEN; NOT FOUND; CPR 12.5 MG x 30; VAP
57690; CAPTOZEN ; CAPTOZEN; NOT FOUND; CPR 25 MG x 30; VAP
59948; CECOFLAN ; CECOFLAN; NOT FOUND; CPR 100 MG x 12; VAP
57698; CINAZIN ; CINAZIN; NOT FOUND; CPR 25 MG x 30; VAP
57699; CINAZIN ; CINAZIN; NOT FOUND; CPR 75 MG x 30; VAP
62002; CLARIVIT ; CLARIVIT; NOT FOUND; SOLN OFTAL 24 ML x 1; VAP
57705; CLORDILON ; CLORDILON; NOT FOUND; CPR 25 MG x 42; VAP
57706; CLORDILON ; CLORDILON; NOT FOUND; CPR 50 MG x 28; VAP
57704; CLOTIGEN ; CLOTIGEN; NOT FOUND; CREME 10 MG 50 G x 1 (/G); VAP
146900; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CREME DERM 10 MG 50 G x 1 (/G); VAP
