164474, ACECLOFENACO MG , ACECLOFENACO, ACECLOFENACO, CPR REVEST 100 MG x 12, VAP
73161, ACIDINA , ACIDINA, NOT FOUND, SUSP 240 ML x 1, VAP
62185, ALENDRIN , ALENDRIN, NOT FOUND, CPR 10 MG x 30, VAP
57667, ALGY-FLANDERIL , ALGY FLANDERIL, NOT FOUND, CPR 300 MG x 20, VAP
71975, ALGY-FLANDERIL , ALGY FLANDERIL, NOT FOUND, CPR 300 MG x 500, VAP
57668, ALGY-FLANDERIL , ALGY FLANDERIL, NOT FOUND, CPR 600 MG x 20, VAP
70149, ALGY-FLANDERIL , ALGY FLANDERIL, NOT FOUND, CPR 600 MG x 500, VAP
85765, ALGY-FLANDERIL GO , ALGY FLANDERIL GO, NOT FOUND, GOTAS 50 MG 30 ML x 1 (/ML), VAP
85766, ALGY-FLANDERIL GO , ALGY FLANDERIL GO, NOT FOUND, GOTAS 50 MG 30 ML x 50 (/ML), VAP
74595, AMINOFILINA MG , AMINOFILINA, AMINOFILINA, CPR 100 MG x 20, VAP
75066, AMINOFILINA MG , AMINOFILINA, AMINOFILINA, CPR 100 MG x 500, VAP
73915, AMINOFILINA MG , AMINOFILINA, AMINOFILINA, CPR 200 MG x 20, VAP
67125, AMLODIL , AMLODIL, NOT FOUND, CPR 10 MG x 20, VAP
114782, AMLODIL , AMLODIL, NOT FOUND, CPR 10 MG x 500, VAP
67124, AMLODIL , AMLODIL, NOT FOUND, CPR 5 MG x 20, VAP
114781, AMLODIL , AMLODIL, NOT FOUND, CPR 5 MG x 500, VAP
101670, AMPRAX , AMPRAX, NOT FOUND, CPR 40 MG x 30, VAP
65004, AMPRAX , AMPRAX, NOT FOUND, CPR 40 MG x 40, VAP
72516, AMPRAX , AMPRAX, NOT FOUND, CPR 40 MG x 500, VAP
65005, AMPRAX , AMPRAX, NOT FOUND, CPR 80 MG x 30, VAP
66008, ANCLORIC , ANCLORIC, NOT FOUND, CPR 5 MG x 30 (/50), VAP
65009, ASMOFILIN , ASMOFILIN, NOT FOUND, CPR 100 MG x 20, VAP
59154, ASSEDATIL , ASSEDATIL, NOT FOUND, CPR 100 MG x 200 (INF), VAP
59155, ASSEDATIL , ASSEDATIL, NOT FOUND, CPR 500 MG x 100 (ADLT), VAP
59938, ATENOCLOR , ATENOCLOR, NOT FOUND, CPR 100 MG x 28 (/25), VAP
59937, ATENOCLOR , ATENOCLOR, NOT FOUND, CPR 50 MG x 28 (/12), VAP
86878, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 30, VAP
86879, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 30, VAP
86880, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 30, VAP
