62829, LANSOHEXAL , LANSOHEXAL, NOT FOUND, CAPS 30 MG x 7, SDZ
62830, LANSOHEXAL , LANSOHEXAL, NOT FOUND, CAPS 30 MG x 14, SDZ
73689, LEVOBIOT , LEVOBIOT, NOT FOUND, CPR REVEST 500 MG x 10, SDZ
73690, LEVOBIOT , LEVOBIOT, NOT FOUND, CPR REVEST 250 MG x 7, SDZ
73691, LEVOBIOT , LEVOBIOT, NOT FOUND, CPR REVEST 500 MG x 3, SDZ
73723, LEVOBIOT , LEVOBIOT, NOT FOUND, CPR REVEST 500 MG x 7, SDZ
71616, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 7, SDZ
71617, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 10, SDZ
71615, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 3, SDZ
71614, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 250 MG x 7, SDZ
62026, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 10 MG x 30, SDZ
62027, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 20 MG x 30, SDZ
62025, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 5 MG x 30, SDZ
62589, LISINOVIL , LISINOVIL, NOT FOUND, CPR 10 MG x 30, SDZ
62591, LISINOVIL , LISINOVIL, NOT FOUND, CPR 20 MG x 30, SDZ
62590, LISINOVIL , LISINOVIL, NOT FOUND, CPR 5 MG x 30, SDZ
73692, LORSACOR , LORSACOR, NOT FOUND, CPR REVEST 50 MG x 30, SDZ
72123, LORSACOR , LORSACOR, NOT FOUND, CPR REVEST 50 MG x 60, SDZ
59723, LORSACOR , LORSACOR, NOT FOUND, CPR REVEST 50 MG x 14, SDZ
59724, LORSACOR , LORSACOR, NOT FOUND, CPR REVEST 50 MG x 28, SDZ
67400, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28, SDZ
67401, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14, SDZ
65117, LOVASTATINA MG , LOVASTATINA, LOVASTATINA, CPR 20 MG x 30, SDZ
65116, LOVASTATINA MG , LOVASTATINA, LOVASTATINA, CPR 10 MG x 30, SDZ
66316, LOVASTATINA MG , LOVASTATINA, LOVASTATINA, CPR 40 MG x 10, SDZ
76510, LUFISAN , LUFISAN, NOT FOUND, GOTAS 75 MG 15 ML x 1 (/ML), SDZ
76509, LUFISAN , LUFISAN, NOT FOUND, CPR 40 MG x 20, SDZ
