77966, CANDESARTA CILE MG , CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 16 MG x 30, SDZ
77965, CANDESARTA CILE MG , CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 8 MG x 30, SDZ
63173, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, SDZ
64491, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 60, SDZ
63540, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 60, SDZ
64490, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, SDZ
59168, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, SDZ
74627, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 25 MG x 60, SDZ
71844, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 25 MG x 30, SDZ
74626, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 50 MG x 30, SDZ
57331, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 12.5 MG x 30, SDZ
64492, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 25 MG x 56, SDZ
57332, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 25 MG x 28, SDZ
57593, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 50 MG x 28, SDZ
70204, CARDBLOC , CARDBLOC, NOT FOUND, CPR 40 MG x 30, SDZ
57962, CIPROBIOT , CIPROBIOT, NOT FOUND, CPR 250 MG x 6, SDZ
57963, CIPROBIOT , CIPROBIOT, NOT FOUND, CPR 500 MG x 6, SDZ
57964, CIPROBIOT , CIPROBIOT, NOT FOUND, CPR 500 MG x 14, SDZ
78003, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, SDZ
78001, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, SDZ
78002, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, SDZ
78000, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 25 MG x 4, SDZ
78619, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 1, SDZ
78004, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 4, SDZ
62787, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 30, SDZ
72460, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28, SDZ
59182, CITR.TAMOXIFENO MG , CITR TAMOXIFENO, CITRATO TAMOXIFENO, CPR REVEST 20 MG x 30, SDZ
59181, CITR.TAMOXIFENO MG , CITR TAMOXIFENO, CITRATO TAMOXIFENO, CPR REVEST 10 MG x 30, SDZ
74153, CLAXAM , CLAXAM, NOT FOUND, SUSP 457 MG 70 ML x 1 (/5ML), SDZ
74504, CLAXAM , CLAXAM, NOT FOUND, CPR REVEST 875 MG x 20 (/125), SDZ
74505, CLAXAM , CLAXAM, NOT FOUND, CPR REVEST 875 MG x 14 (/125), SDZ
72610, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 28, SDZ
72611, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 14, SDZ
59197, CLOR SOTALOL MG , CLOR SOTALOL, CLORIDRATO SOTALOL, CPR 160 MG x 20, SDZ
59192, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVES.AP 120 MG x 20, SDZ
59193, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR RET.REVE 240 MG x 30, SDZ
59191, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, SDZ
59699, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, SDZ
