86224, OLANZAPINA MG , OLANZAPINA, OLANZAPINA, CPR REVEST 5 MG x 30, SDZ
86222, OLANZAPINA MG , OLANZAPINA, OLANZAPINA, CPR REVEST 10 MG x 30, SDZ
59102, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 28, SDZ
100282, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 14, SDZ
59100, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 10 MG x 14, SDZ
59103, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 40 MG x 7, SDZ
59101, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 7, SDZ
56204, OMEPROTEC , OMEPROTEC, NOT FOUND, CAPS 10 MG x 14, SDZ
62749, OMEPROTEC , OMEPROTEC, NOT FOUND, CAPS 40 MG x 7, SDZ
65128, OMEPROTEC , OMEPROTEC, NOT FOUND, CAPS 20 MG x 28, SDZ
56206, OMEPROTEC , OMEPROTEC, NOT FOUND, CAPS 20 MG x 7, SDZ
56208, OMEPROTEC , OMEPROTEC, NOT FOUND, CAPS 20 MG x 14, SDZ
