74177, LAMISIL , LAMISIL, NOT FOUND, CREME 1 % 15 G x 1, NV1
49548, LAMISIL , LAMISIL, NOT FOUND, CREME 1 % 20 G x 1, NV1
67729, LAMISIL , LAMISIL, NOT FOUND, CREME 1 % 7.50 G x 1, NV1
64599, LAMISIL , LAMISIL, NOT FOUND, GEL. 1 % 20 G x 1, NV1
58743, LAMISIL , LAMISIL, NOT FOUND, GEL. 1 % 30 G x 1, NV1
73566, LAMISIL , LAMISIL, NOT FOUND, SOL UMA VEZ 1 % 4 G x 1, NV1
54022, LAMISIL , LAMISIL, NOT FOUND, SOLN TOP. 1 % 30 ML x 1, NV1
54023, LAMISIL , LAMISIL, NOT FOUND, SPRAY 1 % 30 ML x 1, NV1
77710, LAMISILATE , LAMISILATE, NOT FOUND, CREME. 1 % 15 G x 1, NV1
77711, LAMISILATE , LAMISILATE, NOT FOUND, CREME. 1 % 30 G x 1, NV1
83745, LAMISILATE , LAMISILATE, NOT FOUND, SOL UMA VEZ 10 MG 4 G x 1 (/G), NV1
77713, LAMISILATE , LAMISILATE, NOT FOUND, SPRAY 1 % 30 G x 1, NV1
