1049200190027; FADIG; FADIG; NOT FOUND; CAPS CX C/3 BL X 10; ATV
1049201290039; FLUCODAN; FLUCODAN; NOT FOUND; 150 MG CAP GEL DURA CT  BL AL PLAS INC X 1 ; ATV
1049201690029; FOSIPRAZ; FOSIPRAZ; NOT FOUND; 10 MG COM CT BL AL/AL X 28; ATV
1049201690010; FOSIPRAZ; FOSIPRAZ; NOT FOUND; 10 MG COM CT BL AL/AL X 14; ATV
1049201690037; FOSIPRAZ; FOSIPRAZ; NOT FOUND; 20 MG COM CT BL AL/AL X 14; ATV
1049201690045; FOSIPRAZ; FOSIPRAZ; NOT FOUND; 20 MG COM CT BL AL/AL X 28; ATV
1049201680015; FOSINOPRIL SÓDICO; FOSINOPRIL SODICO; FOSINOPRIL SODICO; 10 MG COM CT BL AL/AL X 14; ATV
1049201680023; FOSINOPRIL SÓDICO; FOSINOPRIL SODICO; FOSINOPRIL SODICO; 10 MG COM CT BL AL/AL X 28 ; ATV
1049201680031; FOSINOPRIL SÓDICO; FOSINOPRIL SODICO; FOSINOPRIL SODICO; 20 MG COM CT BL AL/AL X 14 ; ATV
1049201680041; FOSINOPRIL SÓDICO; FOSINOPRIL SODICO; FOSINOPRIL SODICO; 20 MG COM CT BL AL/AL X 28; ATV
1049201920131; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; ATV
1049201920083; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; ATV
1049201920024; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 15; ATV
1049201920032; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 30; ATV
