1049201830025; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30; ATV
1049201830092; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); ATV
1049201830068; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 20; ATV
1049201830106; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); ATV
1049201830076; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; ATV
1049201830084; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 60; ATV
1049201830041; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); ATV
1049201830017; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 20; ATV
1049201830051; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); ATV
1049201830033; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 60; ATV
1049201890011; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL PLAS INC X 10; ATV
1049201890028; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL PLAS INC X 30; ATV
1049201890141; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75MG COM REV CT BL AL PLAS INC X 14; ATV
1049201890151; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75MG COM REV CT BL AL PLAS INC X 28; ATV
1049201890044; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP) ; ATV
1049201550014; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20 ; ATV
1049201550065; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; ATV
1049201550022; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; ATV
1049201550057; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30 ; ATV
1049201550091; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); ATV
1049201550103; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); ATV
1049200900032; BRONQUIMUCIL; BRONQUIMUCIL; NOT FOUND; SUSP ORAL FRASCO C/100ML; ATV
