1049201580029; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; ATV
1049201580045; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4; ATV
1049201580061; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 5; ATV
1049201580037; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 2; ATV
1049201580053; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 8; ATV
1049201420013; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20; ATV
1049201420021; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT 6 BL AL PLAS INC X 10; ATV
1049201420031; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20; ATV
1049201420048; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT 6 BL AL PLAS INC X 10; ATV
1049201420056; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 20; ATV
1049201420064; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT 6 BL AL PLAS INC X 10; ATV
1049201420072; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25MG COM CT BL AL PLAS INC X 30; ATV
1049201420080; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; ATV
1049201420099; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 30; ATV
1049201410018; ARROPLAM; ARROPLAM; NOT FOUND; 0.25 MG COM CT 2 BL AL PLAS INC X 10; ATV
1049201410026; ARROPLAM; ARROPLAM; NOT FOUND; 0.25 MG COM CT 6 BL AL PLAS INC X 10; ATV
1049201410034; ARROPLAM; ARROPLAM; NOT FOUND; 0.5 MG COM CT 2 BL AL PLAS INC X 10; ATV
1049201410042; ARROPLAM; ARROPLAM; NOT FOUND; 0.5 MG COM CT 6 BL AL PLAS INC X 10; ATV
1049201410050; ARROPLAM; ARROPLAM; NOT FOUND; 1.0 MG COM CT 2 BL AL PLAS INC X 10; ATV
1049201410069; ARROPLAM; ARROPLAM; NOT FOUND; 1.0 MG COM CT 6 BL AL PLAS INC X 10; ATV
1049201430035; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CT FR PLAS OPC X 28; ATV
1049201430043; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CT FR PLAS OPC X 30; ATV
1049201430019; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CT FR PLAS OPC X 28; ATV
1049201430027; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CT FR PLAS OPC X 30; ATV
1049201560036; ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100000 UI/G CREM DERM CT BG AL X 30 G; ATV
1049201570031; ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100000 UI/G POM DERM CT BG AL X 30 G ; ATV
1049200010010; ALERGO GLUCALBET; ALERGO GLUCALBET; NOT FOUND; XAROPE FRASCO C/120ML; ATV
