1049201250010; PEPTOPANCREASI; PEPTOPANCREASI; NOT FOUND; SOL OR FR VD AMB X 100 ML; ATV
1049201250033; PEPTOPANCREASI; PEPTOPANCREASI; NOT FOUND; SOL ORAL FRASCO VD 60 ML; ATV
1049201960042; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 30; ATV
1049201960204; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 30; ATV
1049201960018; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 10 ; ATV
1049201960026; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 15; ATV
1049201960050; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 60; ATV
1049201960069; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 100 (EMB HOSP); ATV
1049201960093; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 10 ; ATV
1049201960107; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 15; ATV
1049201960123; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 30; ATV
1049201960131; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 60; ATV
1049201960141; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 100 (EMB HOSP); ATV
1049201960174; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 10 ; ATV
1049201960182; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 15 ; ATV
1049201960212; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 60; ATV
1049201960220; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 100 (EMB HOSP); ATV
1049201850050; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 12; ATV
1049201850069; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 24; ATV
1049201850077; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); ATV
1049201850085; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); ATV
1049201850093; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); ATV
1049201850107; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 120 (EMB HOSP); ATV
1049201850115; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); ATV
1049201850123; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); ATV
1049201640013; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20; ATV
1049201500017; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG COM CT BL AL AL X 30; ATV
1049201500025; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL AL X 30; ATV
1049201500033; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 40 MG COM CT BL AL AL X 30; ATV
