1049201900015; CLOPIDROR; CLOPIDROR; NOT FOUND; 75 MG COM REV CT BL AL PVC/PVDC INC X 10; ATV
1049201900023; CLOPIDROR; CLOPIDROR; NOT FOUND; 75 MG COM REV CT BL AL PVC/PVDC INC X 30; ATV
1049201900139; CLOPIDROR; CLOPIDROR; NOT FOUND; 75 MG COM REV CT BL AL PVC/PVDC INC X 14; ATV
1049201900147; CLOPIDROR; CLOPIDROR; NOT FOUND; 75 MG COM REV CT BL AL PVC/PVDC INC X 28; ATV
1049201590024; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; ATV
1049201590040; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.0 MG COM CT BL AL PLAS INC X 30; ATV
1049201590067; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.0 MG COM CT BL AL PLAS INC X 30; ATV
1049200580011; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL PLAS TRANS X 50; ATV
1049200580041; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 200 (EMB HOSP); ATV
1049200580025; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 60; ATV
1049200580051; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP); ATV
1049201620039; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); ATV
1049201620012; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 50; ATV
1049201620055; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); ATV
1049200580076; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL PLAS TRANS X 10; ATV
1049201870035; CRONOCOR; CRONOCOR; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 15; ATV
1049201870116; CRONOCOR; CRONOCOR; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 15; ATV
1049201870132; CRONOCOR; CRONOCOR; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; ATV
1049201870140; CRONOCOR; CRONOCOR; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 15; ATV
1049201870167; CRONOCOR; CRONOCOR; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; ATV
1049201870051; CRONOCOR; CRONOCOR; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 30; ATV
1049201870078; CRONOCOR; CRONOCOR; NOT FOUND; 6.25 MG COM CT BL AL PLAS INC X 15; ATV
1049201870094; CRONOCOR; CRONOCOR; NOT FOUND; 6.25 MG COM CT BL AL PLAS INC X 30; ATV
1049201860145; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL PLAS INC X 30; ATV
1049201860161; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL PLAS INC X 30; ATV
1049201860080; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL PLAS INC X 15; ATV
1049201860102; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL PLAS INC X 30; ATV
1049201860021; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL PLAS INC X 15; ATV
1049201860129; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL PLAS INC X 30; ATV
1049201860048; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL PLAS INC X 15; ATV
1049201860064; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL PLAS INC X 15; ATV
1049201200031; CRONOGERON; CRONOGERON; NOT FOUND; 25 MG  COM CT 2 BL AL PLAS AMB X 15 ; ATV
1049201200041; CRONOGERON; CRONOGERON; NOT FOUND; 75 MG COM CT 2 BL AL PLAS AMB X 15 ; ATV
1049201520018; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 1 BL AL PLAS X 14 ; ATV
1049201520026; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 2 BL AL PLAS X 14 ; ATV
1049201650027; CONIDRIN SALINA; CONIDRIN SALINA; NOT FOUND; 9.0 MG/ML SOL NASAL CT FR PLAS OPC GOT X 30 ML; ATV
1049201650019; CONIDRIN SALINA; CONIDRIN SALINA; NOT FOUND; 9.0 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 50 ML; ATV
1049201460023; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; ATV
1049201460015; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 06 ; ATV
1049201460058; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 06  ; ATV
1049201460066; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; ATV
1049201930054; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 30; ATV
1049201930038; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 15; ATV
1049201930062; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 60; ATV
1049201940017; CLOMENAC; CLOMENAC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 7; ATV
1049201940033; CLOMENAC; CLOMENAC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 15; ATV
1049201940051; CLOMENAC; CLOMENAC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; ATV
1049201940068; CLOMENAC; CLOMENAC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 60; ATV
1049201630018; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; ATV
1049200130089; CONIDRIN; CONIDRIN; NOT FOUND; 1 MG/ML + 1 MG/ML SOL NASAL CT FR PLAS OPC X 15 ML; ATV
1049200130100; CONIDRIN; CONIDRIN; NOT FOUND; 1 MG/ML + 1 MG/ML SOL NASAL CT FR PLAS OPC X 30 ML; ATV
1049200130062; CONIDRIN; CONIDRIN; NOT FOUND; 0.25 MG/ML + 0.25 MG/ML SOL NASAL CT FR PLAS OPC X 10 ML; ATV
1049200130070; CONIDRIN; CONIDRIN; NOT FOUND; 0.5 MG/ML + 0.5 MG/ML SOL NASAL CT FR PLAS OPC X 10 ML; ATV
1049200130097; CONIDRIN; CONIDRIN; NOT FOUND; 0.5 MG/ML + 0.5 MG/ML SOL NASAL CT FR PLAS OPC X 20 ML; ATV
1049201610017; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; ATV
1049201610025; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; ATV
1049201730047; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS INC X 14; ATV
1049201730012; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 10 ; ATV
1049201730020; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 20 ; ATV
1049201730039; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30; ATV
1049201720017; CEFELIC; CEFELIC; NOT FOUND; 50MG COM REV CT BL AL PLAST INC X 10 ; ATV
1049201720041; CEFELIC; CEFELIC; NOT FOUND; 100 MG COM REV CT BL AL PLAST INC X 14; ATV
1049201720025; CEFELIC; CEFELIC; NOT FOUND; 50 MG COM REV CT BL AL PLAST INC X 20; ATV
1049201720033; CEFELIC; CEFELIC; NOT FOUND; 50 MG COM REV CT BL AL PLAST INC X 30; ATV
1049202010056; CLORIDRATO DE TANSULOSINA; CLORIDRATO TANSULOSINA; CLORIDRATO TANSULOSINA; 0.4 MG CAP DURA LIB PROL CT BL AL PLAS TRANS X 30; ATV
1049201810032; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS OPC X 14; ATV
1049201810016; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS OPC X 7 ; ATV
1049201810059; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS OPC X 28; ATV
