Abreviação ,Palavra ,Conceito ,Para fins de certificação em BPF
ADES ,Adesivo ,Sistema destinado a produzir um efeito sistêmico pela difusão do(s) princípio(s) ativo(s) numa velocidade constante  por um período de tempo prolongado. ,Adesivo
ANEL ,Anel ,forma farmacêutica circular sólida destinada à liberação do princípio ativo a uma velocidade constante  por um período de tempo prolongado ,Anel
BAR ,Barra ,forma farmacêutica sólida no formato de um retângulo  contendo um ou mais princípios ativos ,Barra
BAST ,Bastão ,forma farmacêutica sólida contendo um ou mais princípios ativos  de formato longo e fino  freqüentemente de forma cilíndrica e que dissolve ou funde na temperatura do corpo ,Bastão
CAP DURA ,Cápsula Dura  ,cápsula que consiste de duas seções cilíndricas pré-fabricadas (corpo e tampa) que se encaixam e cujas extremidades são arredondadas. É tipicamente preenchida com princípio(s) ativo(s) e excipientes na forma sólida. Normalmente é formada de gelatina  mas pode também ser de outras substâncias ,Cápsula
CAP DURA LIB PROL  ,Cápsula Dura de Liberação Prolongada  , cápsula que consiste de duas seções cilíndricas pré-fabricadas (corpo e tampa) que se encaixam e cujas extremidades são arredondadas. É tipicamente preenchida com princípio(s) ativo(s) e excipientes na forma sólida. Normalmente é formada de gelatina  mas pode também ser de outras substâncias. Vide definição de liberação prolongada ,Cápsula
CAP DURA LIB RETARD  ,Cápsula Dura de Liberação Retardada  ,cápsula que consiste de duas seções cilíndricas pré-fabricadas (corpo e tampa) que se encaixam e cujas extremidades são arredondadas. É tipicamente preenchida com princípio(s) ativo(s) e excipientes na forma sólida. Normalmente é formada de gelatina  mas pode também ser de outras substâncias. Vide definição de liberação retardada ,Cápsula
CAP MOLE  ,Cápsula Mole  ,cápsula constituída de um invólucro de gelatina  de vários formatos  mais maleável do que o das cápsulas duras. Normalmente é preenchida com conteúdos líquidos ou semi-sólidos  mas pode ser preenchida também com pós e outros sólidos secos ,Cápsula mole
CAP MOLE LIB PROL  ,Cápsula Mole de Liberação Prolongada  ,cápsula constituída de um invólucro de gelatina  de vários formatos  mais maleável do que o das cápsulas duras. Normalmente é preenchida com conteúdos líquidos ou semi-sólidos  mas pode ser preenchida também com pós e outros sólidos secos. Vide definição de liberação prolongada ,Cápsula mole
CAP MOLE LIB RETARD  ,Cápsula Mole de Liberação Retardada  ,cápsula constituída de um invólucro de gelatina  de vários formatos  mais maleável do que o das cápsulas duras. Normalmente é preenchida com conteúdos líquidos ou semi-sólidos  mas pode ser preenchida também com pós e outros sólidos secos. Vide definição de liberação retardada ,Cápsula mole
COM ,Comprimido ,comprimido sem revestimento. Os excipientes usados não são destinados especificamente a modificar a liberação do(s) princípio(s) ativo(s) nos fluidos digestivos ,Comprimido
COM LIB MOD ,Comprimido de Liberação Modificada  ,comprimido que tem liberação modificada. Deve ser classificado como de liberação modificada apenas quando as classificações “liberação retardada” e “liberação prolongada” não forem adequadas ,Comprimido
COM LIB PROL  ,Comprimido de Liberação Prolongada  ,comprimido cujos excipientes são destinados especificamente a modificar a liberação do princípio ativo nos fluidos digestivos.  Vide definição de liberação prolongada ,Comprimido
COM EFEV  ,Comprimido Efervescente  ,comprimido contendo  em adição aos ingredientes ativos  substâncias ácidas e carbonatos ou bicarbonatos  os quais liberam dióxido de carbono quando o comprimido é dissolvido em água. É destinado a ser dissolvido ou disperso em água antes da administração ,Comprimido efervescente
COM MAST  ,Comprimido Mastigável  ,comprimido formulado para que possa ser mastigado  produzindo um sabor residual agradável na cavidade oral ,Comprimido e/ou Comprimido revestido
COM ORODISP  ,Comprimido Orodispersível  ,comprimido que desintegra ou dissolve rapidamente quando colocado sobre a língua ,Comprimido
COM COLUT  ,Comprimido para Colutório  ,comprimido que deve ser dissolvido em água para a preparação do colutório  que é um líquido destinado ao enxágue bucal com ação sobre as gengivas e as mucosas da boca e da garganta. Não deve ser deglutido ,Comprimido
COM SOL  ,Comprimido para Solução  ,comprimido destinado a ser dissolvido na água antes da administração. A solução produzida pode ser levemente turva devido aos excipientes utilizados na fabricação do comprimido ,Comprimido
COM SUS  ,Comprimido para Suspensão  ,comprimido que  quando em contato com um líquido  rapidamente produz uma dispersão homogênea (suspensão). É destinado a ser disperso antes da administração ,Comprimido
COM REV  ,Comprimido Revestido  ,comprimido que possui uma ou mais camadas finas de revestimento  normalmente poliméricas  destinadas a proteger o fármaco do ar ou umidade  para fármacos com odor e sabor desagradáveis  para melhorar a aparência dos comprimidos ou para alguma outra propriedade que não seja a de alterar a velocidade ou extensão da liberação do princípio ativo ,Comprimido revestido
COM REV LIB PROL ,Comprimido Revestido de Liberação Prolongada  ,comprimido que possui uma ou mais camadas finas de revestimento  normalmente poliméricas  destinadas a modificar a velocidade ou extensão da liberação do(s) princípio(s) ativo(s). Vide definição de liberação prolongada ,Comprimido revestido
COM REV LIB RETARD  ,Comprimido Revestido de Liberação Retardada  ,comprimido que possui uma ou mais camadas finas de revestimento  normalmente poliméricas  destinadas a modificar a velocidade ou extensão da liberação do(s) princípio(s) ativo(s)  apresentando uma liberação retardada do(s) princípio(s) ativo(s).  Vide definição de liberação retardada ,Comprimido revestido
DIU  ,Dispositivo Intra-uterino  ,sistema para ser inserido no útero para prevenir a concepção efetiva a partir da liberação do princípio ativo a uma velocidade constante  por um período de tempo prolongado ,Dispositivo intra-uterino
FIL  ,Filme ,forma farmacêutica sólida que consiste de uma película fina e alongada  contendo uma dose única de um ou mais princípios ativos  com ou sem excipientes ,Filme
GLOB ,Glóbulo ,forma farmacêutica sólida que se apresenta sob a forma de pequenas esferas constituídas de sacarose ou de mistura de sacarose e lactose  impregnadas pela potência desejada e com álcool acima de 70% ,Glóbulo
GOMA ,Goma de Mascar  ,forma farmacêutica sólida de dose única contendo um ou mais princípios ativos  que consiste de material plástico insolúvel  doce e saboroso. Quando mastigada  libera o princípio ativo na cavidade oral. Destinada à administração pela boca. Não deve ser deglutida ,Goma
GRAN ,Granulado ,forma farmacêutica sólida contendo uma dose única de um ou mais princípios ativos  com ou sem excipientes. Consiste de agregados sólidos e secos de volumes uniformes de partículas de pó resistentes ao manuseio ,Granulado
GRAN EFEV  ,Granulado Efervescente  ,granulado contendo  em adição aos ingredientes ativos  substâncias ácidas e carbonatos ou bicarbonatos  os quais liberam dióxido de carbono quando o granulado é dissolvido em água. É destinado a ser dissolvido ou disperso em água antes da administração ,Granulado efervescente
GRAN SOL  ,Granulado para Solução  ,granulado destinado a ser dissolvido na água antes da administração. A solução produzida pode ser levemente leitosa devido aos excipientes utilizados na fabricação dos granulados ,Granulado
GRAN SUS  ,Granulado para Suspensão  ,granulado que  quando em contato com um líquido  rapidamente produz uma dispersão homogênea (suspensão). É destinado a ser disperso antes da administração ,Granulado
GRAN REV  ,Granulado Revestido  ,granulado que possui uma ou mais camadas finas de revestimento  normalmente poliméricas  destinadas a proteger o fármaco do ar ou umidade  para fármacos com odor e sabor desagradáveis  para melhorar a aparência dos granulados ou para alguma outra propriedade que não seja a de alterar a velocidade ou extensão da liberação do princípio ativo ,Granulado revestido
GRAN REV LIB PROL  ,Granulado Revestido de Liberação Prolongada  ,granulado que possui uma ou mais camadas finas de revestimento  normalmente poliméricas  destinadas a modificar a velocidade ou extensão da liberação dos princípios ativos. Vide definição de liberação prolongada ,Granulado revestido
GRAN REV LIB RETARD  ,Granulado Revestido de Liberação Retardada  ,granulado que possui uma ou mais camadas finas de revestimento  normalmente poliméricas  destinadas a modificar a velocidade ou extensão da liberação dos princípios ativos  apresentando uma liberação retardada do princípio ativo. Vide definição de liberação retardada ,Granulado revestido
IMPL  ,Implante ,forma farmacêutica sólida estéril contendo um ou mais princípios ativos e de tamanho e formato adequados para ser inserido em um tecido do corpo  a fim de liberar o(s) princípio(s) ativo(s) por um período prolongado de tempo. É administrado por meio de um injetor especial adequado ou por incisão cirúrgica ,Implante
PAS DURA  ,Pastilha Dura  ,pastilha rígida para ser dissolvida lentamente ,Pastilha
PAS GOM ,Pastilha Gomosa  ,pastilha flexível e macia de misturas contendo polímeros sintéticos ou naturais ,Pastilha
PO  ,Pó ,forma farmacêutica sólida contendo um ou mais princípios ativos secos e com tamanho de partícula reduzido  com ou sem excipientes] ,Pó
