ABREV, FORMA FARMACEUTICA, BPF,  TIPO
ADES, ADESIVO, ADESIVO, SOLIDA
ANEL, ANEL, ANEL, SOLIDA
BAR, BARRA, BARRA, SOLIDA
BAST, BASTAO, BASTAO
CAP DURA, CAPSULA DURA, CAPSULA, SOLIDA
CAP DURA LIB PROL, CAPSULA DURA DE LIBERACAO PROLONGADA, CAPSULA, SOLIDA
CAP DURA LIB RETARD, CAPSULA DURA DE LIBERACAO RETARDADA, CAPSULA, SOLIDA
CAP MOLE, CAPSULA MOLE, CAPSULA MOLE, SOLIDA
CAP MOLE LIB PROL, CAPSULA MOLE DE LIBERACAO PROLONGADA, CAPSULA MOLE, SOLIDA
CAP MOLE LIB RETARD, CAPSULA MOLE DE LIBERACAO RETARDADA, CAPSULA MOLE, SOLIDA
COM, COMPRIMIDO, COMPRIMIDO, SOLIDA
COM LIB MOD, COMPRIMIDO DE LIBERACAO MODIFICADA, COMPRIMIDO, SOLIDA
COM LIB PROL, COMPRIMIDO DE LIBERACAO PROLONGADA, COMPRIMIDO, SOLIDA
COM EFEV, COMPRIMIDO EFERVESCENTE, COMPRIMIDO EFERVESCENTE, SOLIDA
COM MAST, COMPRIMIDO MASTIGAVEL, COMPRIMIDO, SOLIDA
COM ORODISP, COMPRIMIDO ORODISPERSIVEL, COMPRIMIDO, SOLIDA
COM COLUT, COMPRIMIDO PARA COLUTORIO, COMPRIMIDO, SOLIDA
COM SOL, COMPRIMIDO PARA SOLUCAO, COMPRIMIDO, SOLIDA
COM SUS, COMPRIMIDO PARA SUSPENSAO,COMPRIMIDO, SOLIDA
COM REV, COMPRIMIDO REVESTIDO, COMPRIMIDO REVESTIDO, SOLIDA
COM REV LIB PROL, COMPRIMIDO REVESTIDO DE LIBERACAO PROLONGADA, COMPRIMIDO REVESTIDO, SOLIDA
COM REV LIB RETARD, COMPRIMIDO REVESTIDO DE LIBERACAO RETARDADA, COMPRIMIDO REVESTIDO, SOLIDA
DIU, DISPOSITIVO INTRA-UTERINO, DISPOSITIVO INTRA-UTERINO, SOLIDA
FIL, FILME, FILME, SOLIDA
GLOB, GLOBULO, GLOBULO, SOLIDA
GOMA, GOMA DE MASCAR, GOMA, SOLIDA
GRAN, GRANULADO, GRANULADO, SOLIDA
GRAN EFEV, GRANULADO EFERVESCENTE, GRANULADO EFERVESCENTE, SOLIDA
GRAN SOL, GRANULADO PARA SOLUCAO, GRANULADO, SOLIDA
GRAN SUS, GRANULADO PARA SUSPENSAO, GRANULADO, SOLIDA
COM REV, COMPRIMIDO REVESTIDO, COMPRIMIDO REVESTIDO, SOLIDA
