78348; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 6 MG 100 ML x 1 (/ML); FM_
78938; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 3 MG 100 ML x 1 (/ML); FM_
67218; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; AMP. 50 MG 2 ML x 100; FM_
68002; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; AMP. 50 MG 2 ML x 50; FM_
64861; CLORETO DE POTASIO ; CLORETO POTASIO; NOT FOUND; A.IV 10 % 10 ML x 200; FM_
64860; CLORETO DE POTASIO ; CLORETO POTASIO; NOT FOUND; A.IV 19.1 % 10 ML x 200; FM_
69738; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ FLEX 0.90 % 100 ML x 60; FM_
60731; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ FLEX 0.90 % 250 ML x 1; FM_
69739; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ FLEX 0.90 % 250 ML x 50; FM_
69740; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ FLEX 0.90 % 500 ML x 24; FM_
66988; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 10 ML x 200; FM_
66990; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 20 ML x 100; FM_
73953; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 10 % 10 ML x 200; FM_
73217; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 20 % 10 ML x 200; FM_
80848; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 20 % 20 ML x 100; FM_
68038; COMPLEXO B ; COMPLEXO B; NOT FOUND; AMP. 2 ML x 100; FM_
