538912050014313; GLUCOBAY; GLUCOBAY; NOT FOUND; 100 MG COM CT BL AL/AL X 30; BYP
538912050014213; GLUCOBAY; GLUCOBAY; NOT FOUND; 50 MG COM CT BL AL/AL X 30; BYP
515601103165416; GINO CANESTEN; GINO CANESTEN; NOT FOUND; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC; BYP
515601102169418; GINO CANESTEN; GINO CANESTEN; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC; BYP
515601101162411; GINO CANESTEN; GINO CANESTEN; NOT FOUND; 500 MG COM VAG CT BL AL/AL 1 + APLIC; BYP
538912070017904; GAMORVAN; GAMORVAN; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; BYP
538912070017804; GAMORVAN; GAMORVAN; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; BYP
538913050022103; GAMORVAN; GAMORVAN; NOT FOUND; 5 MG COM REV CT BL AL/AL X 10; BYP
538912050011904; GYNERA; GYNERA; NOT FOUND; 0.075 MG + 0.03 MG DRG CT ENV BL CALEND AL PLAS INC X 21; BYP
538902602151316; GADOVIST; GADOVIST; NOT FOUND; 604.72 MG/ML SOL INJ CT FA VD INC X 15 ML; BYP
538902601155318; GADOVIST; GADOVIST; NOT FOUND; 604.72 MG/ML SOL INJ CT FA VD INC X 7.5 ML; BYP
538914120022903; GYNOTRAN; GYNOTRAN; NOT FOUND; 750MG + 200MG OVULO CT 1 STRIP X 7 + 14 DEDEIRAS; BYP
538913010021205; GYNOTRAN; GYNOTRAN; NOT FOUND; 750MG + 200MG OVULO CT 1 STRIP X 7 + 7 LUVAS; BYP
538913120022513; GYNO-ICADEN; GYNO ICADEN; NOT FOUND; 10 MG/G CREM VAG CT BG X 40 G + 7 APLIC; BYP
538913120022613; GYNO-ICADEN; GYNO ICADEN; NOT FOUND; 600 MG/OVULO CT STRIP X 1 + DEDEIRA; BYP
