75614, ELOXATIN , ELOXATIN, NOT FOUND, F.AMP IV 50 MG 10 ML x 1, S_A
76404, ELOXATIN , ELOXATIN, NOT FOUND, F.AMP IV 100 MG 20 ML x 1, S_A
54846, ELOXATIN , ELOXATIN, NOT FOUND, F.AMP LIOF 50 MG x 1, S_A
98153, ENTEROGERMINA , ENTEROGERMINA, NOT FOUND, FLACONETES 5 ML x 10, S_A
28558, EQUILID , EQUILID, NOT FOUND, CPR 200 MG x 20, S_A
3940, EQUILID , EQUILID, NOT FOUND, CAPS 50 MG x 20, S_A
33465, ESPERSON , ESPERSON, NOT FOUND, POM. 2.50 MG 20 G x 1 (/G), S_A
30651, ESPERSON N , ESPERSON N, NOT FOUND, POM. 20 G x 1, S_A
85486, EXPOLID , EXPOLID, NOT FOUND, CPR REVEST 5 MG x 30, S_A
85488, EXPOLID , EXPOLID, NOT FOUND, CPR REVEST 2.50 MG x 30, S_A
85489, EXPOLID , EXPOLID, NOT FOUND, CPR REVEST 10 MG x 30, S_A
