511503502119114; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30; SDZ
511503503115112; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; SDZ
511503504111110; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30; SDZ
511506701112416; MOVACOX; MOVACOX; NOT FOUND; 15 MG COM CT STR  AL/AL X 10; SDZ
511513070057003; MOVACOX; MOVACOX; NOT FOUND; 15 MG COM CT BL AL/AL X 10; SDZ
511506702119414; MOVACOX; MOVACOX; NOT FOUND; 7.5 MG COM CT STR  AL/AL X 10; SDZ
511513070057103; MOVACOX; MOVACOX; NOT FOUND; 7.5 MG COM CT BL AL/AL X 10; SDZ
511506301114111; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS TRANS X 10; SDZ
511506302110118; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; SDZ
511506303117116; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 4 MG COM CT BL AL TRANS INC X 10; SDZ
511506305111115; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 4 MG COM CT BL AL PLAS INC X 20; SDZ
511506304113114; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 4 MG COM CT BL AL PLAS INC X 30; SDZ
511512070055206; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 15 MG COM ORODISP CT BL AL/AL X 28; SDZ
511512070055306; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM ORODISP CT BL AL/AL X 14; SDZ
511515202115117; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM REV CT BL AL PLAS INC X 14; SDZ
511512070055406; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM ORODISP CT BL AL/AL X 28; SDZ
511515201119119; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM REV CT BL AL PLAS INC X 28; SDZ
511512070055506; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 45 MG COM ORODISP CT BL AL/AL X 28; SDZ
511515204118113; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 45 MG COM REV CT BL AL PLAS INC X 28; SDZ
