59579, FEMINVIT , FEMINVIT, NOT FOUND, CPR REVEST x 30, AEE
81089, FLENUS , FLENUS, NOT FOUND, CPR REVEST 22.2 MG x 20, AEE
123862, FLENUS , FLENUS, NOT FOUND, CPR REVEST 22.2 MG x 30, AEE
62130, FLORINY , FLORINY, NOT FOUND, CPR REVEST x 20, AEE
62131, FLORINY , FLORINY, NOT FOUND, LIQD 100 ML x 1, AEE
50518, FOLACIN , FOLACIN, NOT FOUND, CPR 5 MG x 20, AEE
102546, FOLACIN , FOLACIN, NOT FOUND, CPR REVEST 5 MG x 30, AEE
50519, FOLACIN , FOLACIN, NOT FOUND, GOTAS 0.20 MG 30 ML x 1 (/ML), AEE
50520, FOLACIN , FOLACIN, NOT FOUND, LIQD 2 MG 100 ML x 1 (/5ML), AEE
55630, FOLIFER , FOLIFER, NOT FOUND, CPR REVEST x 30, AEE
57264, FOLIFER , FOLIFER, NOT FOUND, GOTAS 30 ML x 1, AEE
57265, FOLIFER , FOLIFER, NOT FOUND, SUSP 100 ML x 1, AEE
93029, FOLIFER FERRO , FOLIFER FERRO, NOT FOUND, SUSP ORAL 250 MG 30 ML x 1 (/ML), AEE
