504110501114411; VONAU; VONAU; NOT FOUND; 4 MG COM DESINT ORAL CT BL AL PLAS INC X 10; BS2
504110601119413; VONAU; VONAU; NOT FOUND; 8 MG COM DESINT ORAL CT BL AL PLAS INC X 10; BS2
504115010053303; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 20 MG + 12.5 MG COM CT STR AL X 90 ; BS2
504115010053403; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 10 MG + 25 MG COM CT STR AL X 90 ; BS2
504106502111416; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 20 MG + 12.5 MG COM CT 2 STR X 15 ; BS2
504106506115416; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 20 MG + 12.5 MG COM CT STR X 45 (EMB FRAC); BS2
504106507111414; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 20 MG + 12.5 MG COM CT STR X 500 (EMB FRAC); BS2
504106508118412; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 20 MG + 12.5 MG COM CT STR X 60 (EMB FRAC); BS2
504106501113415; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 10 MG + 25 MG COM CT 2 STR X 15; BS2
504106504112411; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 10 MG + 25 MG COM CT STR X 45 (EMB FRAC); BS2
504106505119418; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 10 MG + 25 MG COM CT STR X 500 (EMB FRAC); BS2
504106503116411; VASOPRIL PLUS; VASOPRIL PLUS; NOT FOUND; 10 MG + 25 MG COM CT STR X 60 (EMB FRAC); BS2
504106401119411; VASOPRIL; VASOPRIL; NOT FOUND; 10 MG COM CT STR X 30; BS2
504106407117410; VASOPRIL; VASOPRIL; NOT FOUND; 10 MG COM CT STR X 45; BS2
504106408113419; VASOPRIL; VASOPRIL; NOT FOUND; 10 MG COM CT STR X 60; BS2
504106402115411; VASOPRIL; VASOPRIL; NOT FOUND; 20 MG COM CT STRS X 30; BS2
504106404118416; VASOPRIL; VASOPRIL; NOT FOUND; 20 MG COM CT STR X 45; BS2
504106409111411; VASOPRIL; VASOPRIL; NOT FOUND; 20 MG COM CT STR X 60; BS2
504106403111418; VASOPRIL; VASOPRIL; NOT FOUND; 5 MG COM CT STR X 30; BS2
504106405114414; VASOPRIL; VASOPRIL; NOT FOUND; 5 MG COM CT STR X 45; BS2
504106406110412; VASOPRIL; VASOPRIL; NOT FOUND; 5 MG COM CT STR X 60; BS2
504106601150411; VONAU; VONAU; NOT FOUND; 2 MG/ML SOL INJ CT AMP VD AMB X 2 ML; BS2
504106602157418; VONAU; VONAU; NOT FOUND; 2 MG/ML SOL INJ CT AMP VD AMB X 4 ML; BS2
504106301114418; VASLIP; VASLIP; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; BS2
504106305111413; VASLIP; VASLIP; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 60; BS2
504106302110416; VASLIP; VASLIP; NOT FOUND; 20MG COM REV CX BL AL PLAS INC X 30; BS2
504106306116419; VASLIP; VASLIP; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60; BS2
504106304113412; VASLIP; VASLIP; NOT FOUND; 40MG COM REV CX BL AL PLAS INC X 30; BS2
504106308119415; VASLIP; VASLIP; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 60; BS2
504106303117414; VASLIP; VASLIP; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; BS2
504106307112417; VASLIP; VASLIP; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 60; BS2
504106201136118; VALPROATO DE SÓDIO; VALPROATO SODIO; VALPROATO SODIO; 50 MG/ML XPE CT FR VD AMB X 100 ML; BS2
