504109801118417; SUPRELLE; SUPRELLE; NOT FOUND; 1 MG + 0.5 MG COM REV CT BL AL PLAS INC X 28 ; BS2
504109802114415; SUPRELLE; SUPRELLE; NOT FOUND; 1 MG + 0.5 MG COM REV CT 3 BL AL PLAS INC X 28 ; BS2
504105501111414; SPIROCTAN; SPIROCTAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 100; BS2
504105502116411; SPIROCTAN; SPIROCTAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; BS2
504105503112418; SPIROCTAN; SPIROCTAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; BS2
504105504119416; SPIROCTAN; SPIROCTAN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; BS2
504112090050603; SPIROCTAN; SPIROCTAN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BS2
504105601114415; SUPREMA; SUPREMA; NOT FOUND; 2 MG + 1 MG COM REV CT BL AL PLAS INC CALEND X 28; BS2
504110402159415; SONOLAM; SONOLAM; NOT FOUND; 1 MG/ML SOL INJ CT 100 AMP VD INC X 5 ML (EMB HOSP); BS2
504110403155413; SONOLAM; SONOLAM; NOT FOUND; 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; BS2
504110404119410; SONOLAM; SONOLAM; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 100 ( EMB. HOSP.); BS2
504110405115419; SONOLAM; SONOLAM; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 20; BS2
504110407150416; SONOLAM; SONOLAM; NOT FOUND; 5 MG/ML SOL INJ CT 100 AMP VD INC X 3 ML (EMB HOSP); BS2
504110408157414; SONOLAM; SONOLAM; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; BS2
