504101101117412, BONALEN, BONALEN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 15, BS2
504101102113410, BONALEN, BONALEN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 30, BS2
504101103111411, BONALEN, BONALEN, NOT FOUND, 70 MG COM REV CT BL AL PLAS AMB X 4, BS2
504100903171410, BENZITRAT, BENZITRAT, NOT FOUND, COLUT CT FR PLAS TRANS X 150 ML - COLUTORIO, BS2
504109302111115, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT 10 BL AL PLAS INC X 10 (EMB HOSP), BS2
504109303118113, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT 2 BL AL PLAS INC X 10, BS2
504109301115117, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT 3 BL AL PLAS INC X 10, BS2
504109304114111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT 10 BL AL PLAS INC X 10 (EMB HOSP), BS2
504109305110111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT 2 BL AL PLAST INC X 10, BS2
504109306117118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT 3 BL AL PLAS INC X 10, BS2
504101001112419, BIOGLIC, BIOGLIC, NOT FOUND, 1 MG COM CT 3 BL AL PLAS INC X 10, BS2
504101002119417, BIOGLIC, BIOGLIC, NOT FOUND, 2 MG COM CT 3 BL AL PLAS INC X 10, BS2
504101003115415, BIOGLIC, BIOGLIC, NOT FOUND, 4 MG COM CT 3 BL AL PLAS INC X 10, BS2
