504112601116410; DESMURIN; DESMURIN; NOT FOUND; 0.1 MG COM CT FR PLAS OPC X 14 ; BS2
504112602112419; DESMURIN; DESMURIN; NOT FOUND; 0.1 MG COM CT FR PLAS OPC X 30 ; BS2
504112603135412; DESMURIN; DESMURIN; NOT FOUND; 0.1 MG/ML SOL NAS CT FR PLAS OPC SPR X 2.5 ML; BS2
504112604131410; DESMURIN; DESMURIN; NOT FOUND; 0.1 MG/ML SOL NAS CT FR PLAS OPC SPR X 5 ML ; BS2
504112605111413; DESMURIN; DESMURIN; NOT FOUND; 0.2 MG COM CT FR PLAS OPC X 14 ; BS2
504112606118411; DESMURIN; DESMURIN; NOT FOUND; 0.2 MG COM CT FR PLAS OPC X 30; BS2
504110102155414; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG/ML + 5 MG/ML SUS INJ CT 1 SER HYPAK X 1 ML; BS2
504110103151412; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG/ML + 5 MG/ML SUS INJ CT 3 AMP VD AMB X 1 ML; BS2
504110104158410; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG/ML + 5 MG/ML SUS INJ CT 3 SER HYPAK X 1 ML; BS2
504110105154419; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG /ML+ 5 MG/ML SUS INJ CT 50 AMP X 1 ML; BS2
504110106150417; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG/ML + 5 MG/ML SUS INJ CT 50  SER HYPAK X 1 ML; BS2
504110101159416; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG /ML+ 5 MG/ML SUS INJ CT AMP VD AMB  X 1 ML; BS2
504102101161312; DRENIFORMIO; DRENIFORMIO; NOT FOUND; 0.125 MG + 30 MG/G CREM DERM CT BG AL X 30 G; BS2
504114020051604; DOSS; DOSS; NOT FOUND; 1000 UI CAP MOLE CT BL AL PLAS INC X 30; BS2
504114020051704; DOSS; DOSS; NOT FOUND; 1000 UI CAP MOLE CT BL AL PLAS INC X 60; BS2
504101901156412; DEXA-CRONOBE; DEXA CRONOBE; NOT FOUND; SOL INJ CT 3 AMP VD AMB X 2 ML + 3 AMP VD INC X 1 ML; BS2
504113501115313; DTN-FOL; DTN FOL; NOT FOUND; 400 MCG + 10 MG CAP GEL MOLE CT FR PLAS X 90; BS2
504102301160311; DRENISON; DRENISON; NOT FOUND; 0.125 MG/G POM DERM CT BG AL X 30 G; BS2
504102302167318; DRENISON; DRENISON; NOT FOUND; 0.125 MG/G CREM DERM CT BG AL X 30 G; BS2
504111001131313; DRENISON; DRENISON; NOT FOUND; 0.5 MG/ML LOC CT FR PLAS OPC GOT X 30 ML; BS2
504102401173316; DRENISON; DRENISON; NOT FOUND; 4 MCG CM2 CUR CT RL 200 CM X 7.5; BS2
504102704176419; DRENISON; DRENISON; NOT FOUND; 4 MCG CM2 CUR CT RL 60 CM X 7.5; BS2
504102303163316; DRENISON N; DRENISON N; NOT FOUND; N - CREM DERM CT BG AL X 30 G; BS2
504102201166316; DRENISON N; DRENISON N; NOT FOUND; 0.125 MG + 3.5 MG/G POM DERM CT BG AL X 30 G; BS2
504101801119418; DEFLOGEN; DEFLOGEN; NOT FOUND; 100MG COM CT BL AL PLAS INC X 12; BS2
